1-Jul-2025,IT,EU-FR-Google-Brand-Plus,Budget and modifiers,CPT $105>$110,Yun,,,,,
1-Jul-2025,UK,EU-UK-Google-Brand-Plus,Budget and modifiers,"Loosen the Min: $600
Max: $800",Yun,,,,,
7/1/2025,UK,Google,,Updated Account level tracking to OCI tracking,Yun,,,,,
1-Jul-2025,DE,EU-DE-Google-GA_Top,Budget and modifiers,"$270.00
    Min: $1000.00
    Max: $2000.00",Andrew,,,,,
1-Jul-2025,UK,EU-UK-Google-Product-Vertical,Budget and modifiers,"Min $300>$450, Max $600>$750",Yun,,,,,
1-Jul-2025,FR,EU-FR-Google-Product-Vertical,Budget and modifiers,"$130.00
Min: $1000.00
Max: $1,700.00",Andrew,"$120.00
Min: $850.00
Max: $1,200.00",,,,
1-Jul-2025,DE,EU-DE-Google-GA_Top,Budget and modifiers,"$270.00
Min: $1000.00
Max: $2000.00",Andrew,"$270.00
Min: $500.00
Max: $1500.00",,,,
1-Jul-2025,DE,EU-DE-Brand-Plus,Budget and modifiers,"$3.3K>$3.8K, Max $6K>$6.6K",Yun,,,,,
7-Jul-2025,IT,EU-IT-Google-GA_Top,Budget and modifiers,"CPT $200>$190, Min $1.3K>$900, $2K>$1.5K",Yun,,,,,
7-Jul-2025,DE,EU-DE-Google-GA_Top,Budget and modifiers,"$270>$230, Min $1K>$500, Max $2K>$800",Yun,high CPA $1K in WK27,,,,
7-Jul-2025,DE,EU-DE-Google-Product-Vertical,Budget and modifiers,"CPT $350>$290, min $1500>$600, max $3K>$1K",Yun,high CPA $1K in WK27,,,,
7-Jul-2025,DE,EU-DE-Google-GA,Budget and modifiers,"CPT $330>$290 Min $1500>$1k, Max $3K>$2K",Yun,high CPA $1K in WK27,,,,
7-Jul-2025,FR,EU-FR-Google-GA,Budget and modifiers,"$90 (Yun updated CPT from $100>$90)
 Min: $250.00
 Max: $900.00",Andrew,"$100.00
 Min: $350.00
 Max: $900.00",,,,
7-Jul-2025,FR,EU-FR-Google-Generic,Budget and modifiers,"$150.00 
 Min: $3200.00 (Changed back to $3.2K)
 Max: $4,500.00",Andrew,"$160.00
 Min: $3,200.00
 Max: $4,500.00",,,,
7-Jul-2025,FR,EU-FR-Bing-Brand,Budget and modifiers,"$60.00
 Min: $100.00
 Max: $300.00",Andrew,"$60.00
 Min: $120.00
 Max: $300.00",,,,
7-Jul-2025,FR,EU-FR-Brand-Plus,Budget and modifiers,"$110.00
 Min: $600.00 (Yun changed back from $500>$600)
 Max: $1,000.00",Andrew,"$110.00
 Min: $600.00
 Max: $1,000.00",YC- I reverted the change. It's PD week so i don't think we should limit our Brand Plus,,,
7-Jul-2025,IT,EU-IT-Google-AMZ,Budget and modifiers,"$270.00
 Min: $2,800.00>$2.9K
 Max: $3,200.00>$3.5K",Andrew,"$280.00
 Min: $2,600.00
 Max: $3,200.00",,,,
7-Jul-2025,IT,EU-IT-Google-Product-Vertical,Budget and modifiers,"$180
 Min: $500.00
 Max: $1,000.00",Andrew,"$190.00
 Min: $700.00
 Max: $1,000.00",,,,
7-Jul-2025,IT,EU-IT-Google-Generic,Budget and modifiers,"$240.00
 Min: $2,500.00
 Max: $3,300.00",Andrew,"$250.00
 Min: $2,500.00
 Max: $3,300.00",,,,
7-Jul-2025,IT,EU-IT-Brand-Plus,Budget and modifiers,"$220.00
 Min: $1,800.00
 Max: $2,500.00",Andrew,"$220.00
 Min: $1,500.00
 Max: $2,000.00",,,,
8-Jul-2025,UK,NB,Budget and modifiers,Turned off bid modifiers in AMO due to new OCI tracking template not passing device data,Andrew,,,,,
8-Jul-2025,UK,EU-UK-Google-Brand-Plus,Budget and modifiers,"$130.00 CPT
 Min: $800.00
 Max: $1350.00",Andrew,"$120.00
 Min: $600.00
 Max: $950.00",,,,
8-Jul-2025,UK,EU-UK-Google-Generic,Budget and modifiers,,Andrew,,,,,
8-Jul-2025,UK,EU-UK-Google-AMZ,Budget and modifiers,650,Andrew,450,,,,
8-Jul-2025,UK,EU-UK-Google-GA_Top,Budget and modifiers,1900,,1300,,,,
8-Jul-2025,UK,EU-UK-Google-GA,Budget and modifiers,"$150.00
 Min: $750.00
 Max: $1150.00",Andrew,"$100.00
 Min: $100.00
 Max: $400.00",,,,
8-Jul-2025,UK,EU-UK-Google-Product-Vertical,Budget and modifiers,,Andrew,"$130.00
 Min: $450.00
 Max: $750.00",,,,
8-Jul-2025,ES,EU-ES-Google-Brand-Plus,Budget and modifiers,"$120.00
Min: $550.00
Max: $750.00",Andrew,"$110.00
Min: $350.00
Max: $750.00",,,,
8-Jul-2025,ES,EU-ES-Google-Generic,Budget and modifiers,"$2,400",Andrew,"$2,000.00",,,,
8-Jul-2025,ES,EU-ES-Google-AMZ,Budget and modifiers,"$1,000",Andrew,$800.00,,,,
8-Jul-2025,ES,EU-ES-Google-GA_Top,Budget and modifiers,Reverted increased Daily spend chage- $450>$300,Yun,Highest CPA portfolio- no need to increase investment,,,,
8-Jul-2025,FR,"EU-FR-Google-AMZ",Budget and modifiers,"CPT $110>$100, Min $400>$300. Max $800>$700",Yun,,,,,
8-Jul-2025,FR,EU-FR-Google-Product-Vertical,Budget and modifiers,"CPT $130>$120, min $1K>$650, max $1.7K>1K",Yun,,,,,
8-Jul-2025,FR,EU-FR-Google-GA_Top,Budget and modifiers,CPT $120>$110,Yun,,,,,
8-Jul-2025,DE,EU-DE-Google-AMZ,Budget and modifiers,"CPT $360>$340, Min $6K>$5K Max $8K>$7K",Yun,,,,,
8-Jul-2025,DE,EU-DE-Google-Generic,Budget and modifiers,CPT $360>$350,Yun,,,,,
10-Jul-2025,ES,EU-ES-Google-AMZ,Budget and modifiers,$800,,$800.00,,,,
10-Jul-2025,ES,EU-ES-Google-GA_Top,Budget and modifiers,$200,Andrew,,,,,
10-Jul-2025,IT,EU-IT-Google-Product-Vertical,Budget and modifiers,"$180.00
Min: $300.00
Max: $1,000.00",Andrew,"$190.00
Min: $700.00
Max: $1,000.00",,,,
10-Jul-2025,IT,EU-IT-Google-Generic,Budget and modifiers,"$230.00
Min: $2,000.00
Max: $3,000.00",Andrew,"$250.00
Min: $2,500.00
Max: $3,300.00",,,,
10-Jul-2025,IT,EU-IT-Bing-NB,Budget and modifiers,"CPT $200>$190, Min $1.3K>$900, $2K>$1.3K",Andrew,,,,,
10-Jul-2025,FR,EU-FR-Google-GA,Budget and modifiers,"$90.00
Min: $200.00
Max: $700.00",Andrew,"$100.00
Min: $350.00
Max: $900.00",,,,
10-Jul-2025,FR,EU-FR-Google-AMZ,Budget and modifiers,"$100 Min $200, Max $500",Andrew,,,,,
10-Jul-2025,FR,EU-FR-Google-Product-Vertical,Budget and modifiers,"$110, Min $400, Max $800",Andrew,,,,,
10-Jul-2025,FR,EU-FR-Google-Generic,Budget and modifiers,"$150.00
Min: $2800.00
Max: $4,000.00",Andrew,"$160.00
Min: $3,200.00
Max: $4,500.00",,,,
14-Jul-2025,UK,EU-UK-Google-Brand-Plus,Budget and modifiers,"$100.00
Min: $400.00
Max: $1,000",Andrew,"$130.00
Min: $800.00
Max: $1,350.00",,,,
14-Jul-2025,UK,EU-UK-Google-Generic,Budget and modifiers,"$1,500",Andrew,1700,,,,
14-Jul-2025,UK,EU-UK-Google-AMZ,Budget and modifiers,$350.00,Andrew,$650.00,,,,
14-Jul-2025,UK,EU-UK-Google-GA_Top,Budget and modifiers,"$1,600",Andrew,"$1,900",,,,
14-Jul-2025,UK,EU-UK-Google-Product-Vertical,Budget and modifiers,"$140.00
Min: $500.00
Max: $1,000",Andrew,"$150.00
Min: $750.00
Max: $1,150.00",,,,
14-Jul-2025,DE,EU-DE-Google-Product-Vertical,Budget and modifiers,"$250.00
 Min: $300.00
 Max: $700.00",Andrew,"$290.00
Min: $600.00
Max: $1,000.00",,,,
14-Jul-2025,DE,EU-DE-Google-Generic,Budget and modifiers,"330 CPT
 9.3k min
 11k max",Andrew,"350 CPT
9.5k min
12k max",,,,
14-Jul-2025,DE,EU-DE-Google-GA_Top,Budget and modifiers,"$230.00
Min: $400.00
Max: $600.00",Andrew,"$230.00
Min: $500.00
Max: $800.00",,,,
14-Jul-2025,DE,EU-DE-Brand-Plus,Budget and modifiers,"$220.00
Min: $2,800.00
Max: $6,000.00",Andrew,"$280.00
Min: $3,800.00
Max: $6,600.00",,,,
14-Jul-2025,DE,EU-DE-Google-GA,Budget and modifiers,"$280, Min $800, Max $1.5K",,,,,,
14-Jul-2025,FR,EU-FR-Google-GA,Budget and modifiers,"$75.00
Min: $100.00
Max: $500.00",Andrew,"$90.00
Min: $200.00
Max: $700.00",,,,
14-Jul-2025,FR,EU-FR-Google-AMZ,Budget and modifiers,"$75.00
Min: $200.00
Max: $400.00",Andrew,"$90.00
Min: $200.00
Max: $500.00",,,,
14-Jul-2025,FR,EU-FR-Google-Product-Vertical,Budget and modifiers,"	
$110.00
Min: $400.00
Max: $800.00",Andrew,"	
$110.00
Min: $600.00
Max: $1,000.00",,,,
14-Jul-2025,FR,EU-FR-Google-Generic,Budget and modifiers,"$130.00
Min: $2,500.00
Max: $4,000.00",Andrew,"$150.00
Min: $2,800.00
Max: $4,000.00",,,,
14-Jul-2025,FR,EU-FR-Brand-Plus,Budget and modifiers,"$105
Min: $400.00
Max: $1,000.00",Andrew,"$110.00
Min: $600.00
Max: $1,000.00",,,,
14-Jul-2025,IT,EU-IT-Google-AMZ,Budget and modifiers,"$240.00
Min: $2,000.00
Max: $3,000.00",,"$270.00
Min: $2,900.00
Max: $3,500.00",,,,
14-Jul-2025,IT,EU-IT-Google-Product-Vertical,Budget and modifiers,"$150.00
Min: $200.00
Max: $500.00",Andrew,"$180.00
Min: $300.00
Max: $800.00",,,,
14-Jul-2025,IT,EU-IT-Google-Generic,Budget and modifiers,"$210.00
Min: $1,500.00
Max: $2,500.00",Andrew,"$230.00
Min: $2,000.00
Max: $3,000.00",,,,
14-Jul-2025,IT,EU-IT-Google-GA_Top,Budget and modifiers,"$180 CPTMin: $500.00
Max: $1,000.00",Andrew,"Min: $900.00
Max: $1,500.00",,,,
14-Jul-2025,IT,EU-IT-Bing-NB,Budget and modifiers,,Andrew,,,,,
14-Jul-2025,IT,EU-IT-Brand-Plus,Budget and modifiers,"$200.00
Min: $1,000.00
Max: $2,000.00",Andrew,"$220.00
Min: $1,800.00
Max: $2,500.00",,,,
14-Jul-2025,ES,EU-ES-Google-Brand-Plus,Budget and modifiers,"	
$120.00
Min: $450.00
Max: $750.00",Andrew,"	
$120.00
Min: $550.00
Max: $750.00",,,,
14-Jul-2025,ES,EU-ES-Google-Generic,Budget and modifiers,"$1,900",Andrew,"$2,400.00",,,,
14-Jul-2025,ES,EU-ES-Google-AMZ,Budget and modifiers,$600,Andrew,$800.00,,,,
15-Jul-2025,UK,EU-UK-Google-Brand-Plus,Budget and modifiers,"$110.00
Min: $500.00
Max: $1,000",Andrew,"$130.00
Min: $800.00
Max: $1,350.00 Adjusted to pace to 72% in W29",,,,
15-Jul-2025,UK,EU-UK-Google-Generic,Budget and modifiers,"$1,900",Andrew,170072% in W29 ,,,,
15-Jul-2025,UK,EU-UK-Google-AMZ,Budget and modifiers,$650.00,Andrew,650 72% in W29,,,,
15-Jul-2025,UK,EU-UK-Google-GA_Top,Budget and modifiers,"$1,900",Andrew,1900 72% in W29,,,,
15-Jul-2025,UK,EU-UK-Google-Product-Vertical,Budget and modifiers,"$140.00
Min: $750.00
Max: $1,000",Andrew,"$150.00
Min: $750.00
Max: $1,150.00 Adjusted to pace to 72% in W29",,,,
15-Jul-2025,FR,EU-FR-Google-GA,Budget and modifiers,"$75.00
Min: $200.00
Max: $600.00",Andrew,"$90.00
Min: $200.00
Max: $700.00 Adjusted to pace to 72% in W29",,,,
15-Jul-2025,FR,EU-FR-Google-Product-Vertical,Budget and modifiers,"	
$110.00
Min: $700.00
Max: $1200.00",Andrew,"        
$110.00
Min: $600.00
Max: $1,000.00 Adjusted to pace to 72% in W29",,,,
15-Jul-2025,FR,EU-FR-Google-Generic,Budget and modifiers,"$140.00
Min: $3200.00
Max: $4,000.00",Andrew,"$150.00
Min: $2,800.00
Max: $4,000.00 Adjusted to pace to 72% in W29",,,,
17-Jul-2025,IT,EU-IT-Google-GA,Campaigns,Moved all GA campaigns into GA Top and renamed portfolio as EU-IT-Google-GA(paused) and set inactive,Andrew,Low/no spend on GA campaign in past 30 days,,,,
17-Jul-2025,IT,EU-IT-Google-GA_Top,Campaigns,Moved all GA campaigns into GA Top and renamed GA TOP as 'GA',Andrew,,,,,
17-Jul-2025,IT,EU-IT-Google-Vertical,Campaigns,"Moved all Product campaigns into new portfolio 'EU-IT-Google-Product"" and renamed portfolio from PV to ""Vertical"". Kept the same bid stategy (Marginal CPT) and adjusted cost and rev half lives to 7/30. Adjusted budget to Min: $130.00 Max: $400.00. Adjusted learning % from 50%>20%
",Andrew,,,,,
17-Jul-2025,IT,EU-IT-Google-Product,Campaigns,"Created new portfolio 'EU-IT-Google-Product"" set to Daily bid strategy with 70 budget/day. Set learning % to 5%. Set to 1.2x multiple",Andrew,,,,,
17-Jul-2025,IT,EU-IT-Google-Generic-HighCPA,Campaigns,"Created new portfolio 'EU-IT-Google-Generic-HighCPA"" set to Daily bid strategy with $300 budget/day. Moved the campaign IT_Generic into new portfolio. Set to 1.2x multiple",Andrew,High CPA vs other Generic campaigns in portoflio,,,,
18-Jul-2025,DE,EU-DE-Google-GA,Budget and modifiers,Changed learning budget from 50% to 20% of budget - closer to AMO best practices at 5-10%,Andrew,,,,,
18-Jul-2025,UK,EU-UK-Google-Generic,Budget and modifiers,The click model half-life changed from 14 days to 7 days; The revenue model half-life changed from 60 to 30,Andrew,,,,,
18-Jul-2025,UK,Brand Core,Budget and modifiers,Reduced Max CPC from $21 to $19,Andrew,A 36% CPC increase WoW 29,,,,
18-Jul-2025,ES,EU-ES-Google-Generic,Budget and modifiers,Reduced from 1900 to 1800,Andrew,93% ie%CCP WTD (Sun-Tue),,,,
21-Jul-2025,IT,EU-IT-Google-AMZ,Budget and modifiers,budget change to 2.3K -2.7K from 2-3K; multiple 1.5 to 1; learning model to 7/30 from 14/60,Stacey,,,,,
21-Jul-2025,IT,EU-IT-Google-Vertical,Budget and modifiers,"bidding from Margin CPT to daily; multiple 1.2 to 1; turn off device bid as CPA worse for 10 wks, no adj in G ads on device bid adj",Stacey,,,,,
21-Jul-2025,IT,EU-IT-Google-Product,Budget and modifiers,budget 70 to 100 to avoid budget too low to generate regs,Stacey,,,,,
21-Jul-2025,IT,EU-IT-Google-GA,Budget and modifiers,"budget min from 600 to 900, multiple 1.2 to 1; turn off device as CPA > 400+ on both devices for 4 wks+, no adj on G ads device adj; learning mode change to 7/30",Stacey,,,,,
21-Jul-2025,IT,EU-IT-Google-Generic,Budget and modifiers,budget min from 1.5K to 1.7K; multiple 1.2 to 1.,Stacey,,,,,
21-Jul-2025,IT,EU-IT-Google-Brand-Plus,Budget and modifiers,"budget 1,2K to 2K from 1-2k; multiple 1.5 to 1. CPA higher than  NB;  learning mode to 7/30 from 7/45",Stacey,,,,,
21-Jul-2025,UK,EU-UK-Google-Brand-Plus,Budget and modifiers,"	
$100.00
Min: $400.00
Max: $700.00",Andrew,"	
$110.00
Min: $500.00
Max: $1,000.00",-100,,,
21-Jul-2025,UK,EU-UK-Google-Generic,Budget and modifiers,"$1,500",Andrew,1900,-600,,,
21-Jul-2025,UK,EU-UK-Google-AMZ,Budget and modifiers,450,Andrew,650,-200,,,
21-Jul-2025,UK,EU-UK-Google-GA_Top,Budget and modifiers,"$1,600",Andrew,"$1,900",-500,,,
21-Jul-2025,UK,EU-UK-Google-GA,Budget and modifiers,"$110.00
Min: $100.00
Max: $300.00",Andrew,"$130.00
Min: $200.00
Max: $400.00",-100,,,
21-Jul-2025,UK,EU-UK-Google-Product-Vertical,Budget and modifiers,"$120.00
Min: $650.00
Max: $800.00",Andrew,"$140.00
Min: $750.00
Max: $1,000.00",-200,,,
21-Jul-2025,DE,EU-DE-Google-GA,Budget and modifiers,"$270.00
Min: $800.00
Max: $1,200.00",Andrew,"$280.00
Min: $800.00
Max: $1,500.00",,,,
21-Jul-2025,DE,EU-DE-Google-AMZ,Budget and modifiers,"$290.00
Min: $5,000.00
Max: $6,000.00",Andrew,"$340.00
Min: $5,000.00
Max: $6,000.00",,,,
21-Jul-2025,DE,EU-DE-Google-Generic,Budget and modifiers,"	
$300.00
Min: $9,300.00
Max: $11,000.00",Andrew,"	
$330.00
Min: $9,300.00
Max: $11,000.00",,,,
21-Jul-2025,DE,EU-DE-Google-GA_Top,Budget and modifiers,"$210.00
Min: $300.00
Max: $500.00",Andrew,"$230.00
Min: $400.00
Max: $600.00",,,,
21-Jul-2025,DE,EU-DE-Bing-NB,Budget and modifiers,"$100.00
Min: $500.00
Max: $650.00",Andrew,"$100.00
Min: $400.00
Max: $650.00",,,,
21-Jul-2025,DE,EU-DE-Brand-Plus,Budget and modifiers,220 CPT,Andrew,250 CPT,,,,
21-Jul-2025,FR,EU-FR-Google-GA,Budget and modifiers,"$85.00
Min: $100.00
Max: $400.00",Andrew,"$85.00
Min: $200.00
Max: $600.00",,,,
21-Jul-2025,FR,EU-FR-Google-AMZ,Budget and modifiers,"$75.00
Min: $100.00
Max: $300.00",Andrew,"$75.00
Min: $200.00
Max: $400.00",,,,
21-Jul-2025,FR,EU-FR-Google-Product-Vertical,Budget and modifiers,"$100.00
Min: $600.00
Max: $1,000.00",Andrew,"$110.00
Min: $700.00
Max: $1,200.00",,,,
21-Jul-2025,FR,EU-FR-Google-Generic,Budget and modifiers,"$130.00
Min: $2,900.00
Max: $3,500.00",Andrew,"$140.00
Min: $3,200.00
Max: $4,000.00",,,,
21-Jul-2025,FR,EU-FR-Google-GA_Top,Budget and modifiers,"$100.00
Min: $500.00
Max: $800.00",Andrew,"$110.00
Min: $600.00
Max: $1,000.00",,,,
21-Jul-2025,ES,EU-ES-Google-Generic,Budget and modifiers,"$1,500",Andrew,"$1,800.00",,,,
21-Jul-2025,ES,EU-ES-Google-AMZ,Budget and modifiers,$400,Andrew,600,,,,
21-Jul-2025,ES,EU-ES-Google-GA_Top,Budget and modifiers,$150,Andrew,$200.00,,,,
21-Jul-2025,ES,EU-ES-Google-Product-Vertical,Budget and modifiers,"$85.00
Min: $50.00
Max: $100.00",Andrew,"$85.00
Min: $50.00
Max: $200.00",,,,
22-Jul-2025,FR,EU-FR-Google-GA,Budget and modifiers,Computer bid adj changed to -40% min to -20% max,Andrew,$394.08 Computer CPA prev 4 weeks vs $205 Mobile,,,,
22-Jul-2025,DE,EU-DE-Google-GA_Top,Budget and modifiers,-70% min -30% max Mobile,Andrew,938 Mobile CPA vs 446 Computer past 4 weeks,,,,
22-Jul-2025,DE,EU-DE-Google-Product-Vertical,Budget and modifiers,Min Computer -10%,Andrew,758 Computer CPA vs 664 Mobile past 4 weeks,,,,
23-Jul-2025,FR,EU-FR-Google-AMZ,Budget and modifiers,turned off device bid settings,Andrew,Both Compueters and Mobile CPA increase past 4 weeks,,,,
23-Jul-2025,DE,EU-DE-Google-GA,Budget and modifiers,turned off device bid settings,Andrew,Confirmed with Richard this will not impact OCI baseline data,,,,
23-Jul-2025,FR,EU-FR-Google-AMZ,Bid Strategy,"Changed from Marginal CPT to Daily based on AMO recommendations shared, decreased learning 20%>10%",Andrew,"Avg 4 wks spend $2100 regs 7, CPA $374; change to daily budget as $250), expect to lower weekly average -17% to $1750 and decrease CPA)",,,,
23-Jul-2025,ES,EU-ES-Google-Brand-Plus,Budget and modifiers,"Min: $250.00
Max: $450.00",Andrew,"Min: $450.00
Max: $750.00 (High CPA Prev 4 weeks)",,,,
25-Jul-2025,DE,EU-DE-Google-Generic,Budget and modifiers,Decreased minimum from 9300 to 7300 based on simulations and current high CPA,Andrew,,,,,
25-Jul-2025,ES,EU-ES-Google-Brand-Plus,Budget and modifiers,"Min: $150.00
Max: $350.00",,,,,,
25-Jul-2025,ES,EU-ES-Google-Generic,Budget and modifiers,"$1,400",Andrew,1500 high ie%CCP WTD,,,,
29-Jul-2025,ES,EU-ES-Google-Brand-Plus,Budget and modifiers,"$120.00
Min: $150.00
Max: $300.00",Andrew,"$120.00
Min: $150.00
Max: $350.00",,,,
29-Jul-2025,ES,EU-ES-Google-AMZ,Budget and modifiers,$500,Andrew,400,,,,
29-Jul-2025,ES,EU-ES-Google-GA_Top,Budget and modifiers,$200,Andrew,150,,,,
29-Jul-2025,IT,EU-IT-Google-AMZ,Budget and modifiers,"$230.00
Min: $2,300.00
Max: $2,700.00",Andrew,"$240.00
Min: $2,300.00
Max: $2,700.00",,,,
29-Jul-2025,IT,EU-IT-Google-Product,Budget and modifiers,$150,Andrew,$100.00,,,,
29-Jul-2025,IT,EU-IT-Google-Generic-HighCPA,Budget and modifiers,$200,Andrew,$300,,,,
29-Jul-2025,IT,EU-IT-Brand-Plus,Budget and modifiers,"	
$190.00
Min: $1,200.00
Max: $1,800.00",Andrew,"	
$200.00
Min: $1,200.00
Max: $1,800.00",,,,
29-Jul-2025,FR,EU-FR-Google-GA,Budget and modifiers,Change to Daily $150,Andrew,"$85.00
Min: $100.00
Max: $400.00",,,,
29-Jul-2025,DE,EU-DE-Google-GA,Budget and modifiers,"$210.00
Min: $800.00
Max: $1,200.00",Andrew,"$250.00
Min: $800.00
Max: $1,200.00",,,,
29-Jul-2025,DE,EU-DE-Google-AMZ,Budget and modifiers,"$250.00
Min: $4,000.00
Max: $6,000.00",Andrew,"$290.00
Min: $5,000.00
Max: $6,000.00",,,,
29-Jul-2025,DE,EU-DE-Google-GA_Top,Budget and modifiers,"$210.00
Min: $500.00
Max: $650.00",Andrew,"$210.00
Min: $300.00
Max: $500.00",,,,
29-Jul-2025,UK,EU-UK-Google-Brand-Plus,Budget and modifiers,"$100.00
Min: $300.00
Max: $600.00",Andrew,"$100.00
Min: $400.00
Max: $700.00",,,,
29-Jul-2025,UK,EU-UK-Google-Generic,Budget and modifiers,"$1,700",Andrew,"$1,500.00",,,,
29-Jul-2025,UK,EU-UK-Google-GA_Top,Budget and modifiers,"$1,500",Andrew,"$1,600.00",,,,
29-Jul-2025,UK,EU-UK-Google-GA,Budget and modifiers,"$110.00
Min: $200.00
Max: $300.00",Andrew,"$110.00
Min: $100.00
Max: $300.00",,,,
29-Jul-2025,DE,EU-DE-Brand-Plus,Budget and modifiers,Increased tCPA to 220>230,Andrew,Lower CPA than NB avg,,,,
31-Jul-2025,IT,EU-IT-Google-GA,Budget and modifiers,"$180.00
Min: $700.00
Max: $800.00 (high CPA WTD)",Andrew,"$180.00
Min: $900.00
Max: $1,000.00",,,,
1-Aug-2025,ES,EU-ES-Google-AMZ,Campaigns,Paused ES - Vertical_Medical AMZ due to 0 historical conversions and no spend since Oct 2024. This LP was not updated to /cp/ format and would have required creation,Andrew,,,,,
4-Aug-2025,UK,"UK_GA
UK_P-V
UK_Generic
Brand_GA",Portfolio,"Changed these portfolios to Active Status on Adobe
Created Portfolio bid strategies on Google Ads for each.
ROAS targets based on volatility. (looser ROAS target for more volatile, and higher for stable portfolios)",Richard,"EU-UK-Google-Generic 11.9%
EU-UK-Google-P-V 10.4%
EU-UK-Google-GA 9.8%
UK_GA_Brand (campaign) 12.6%
",,,,
5-Aug-2025,DE,EU-DE-Google-GA_Top,Portfolio,Learning budget changed from 20% to 5%,Yun,"(Applicable to search campaigns with Manual CPC or eCPC bid strategies only) Allots a specified percentage of the portfolio's budget for Search, Social, & Commerce to systematically test unlearned bid units, such as new bid units or existing ones that haven't received enough clicks to be thoroughly evaluated. By default, this option is enabled.",,,,
5-Aug-2025,DE,EU-DE-Google-GA,Portfolio,Learning budget changed from 20% to 5%,Yun,"(Applicable to search campaigns with Manual CPC or eCPC bid strategies only) Allots a specified percentage of the portfolio's budget for Search, Social, & Commerce to systematically test unlearned bid units, such as new bid units or existing ones that haven't received enough clicks to be thoroughly evaluated. By default, this option is enabled.",,,,
5-Aug-2025,DE,EU-DE-Google-Product-Vertical,Portfolio,CPT $270>$240. Learning budget changed from 50%>5%,Yun,"(Applicable to search campaigns with Manual CPC or eCPC bid strategies only) Allots a specified percentage of the portfolio's budget for Search, Social, & Commerce to systematically test unlearned bid units, such as new bid units or existing ones that haven't received enough clicks to be thoroughly evaluated. By default, this option is enabled.",,,,
5-Aug-2025,IT,EU-IT-Google-Vertical,Portfolio,Learning budget changed from 20% to 5%,Yun,"(Applicable to search campaigns with Manual CPC or eCPC bid strategies only) Allots a specified percentage of the portfolio's budget for Search, Social, & Commerce to systematically test unlearned bid units, such as new bid units or existing ones that haven't received enough clicks to be thoroughly evaluated. By default, this option is enabled.",,,,
5-Aug-2025,IT,EU-IT-Google-GA,Portfolio,Learning budget changed from 20% to 5%,Yun,"(Applicable to search campaigns with Manual CPC or eCPC bid strategies only) Allots a specified percentage of the portfolio's budget for Search, Social, & Commerce to systematically test unlearned bid units, such as new bid units or existing ones that haven't received enough clicks to be thoroughly evaluated. By default, this option is enabled.",,,,
5-Aug-2025,FR,EU-FR-Google-GA,Portfolio,Learning budget changed from 50% to 5%,Yun,"(Applicable to search campaigns with Manual CPC or eCPC bid strategies only) Allots a specified percentage of the portfolio's budget for Search, Social, & Commerce to systematically test unlearned bid units, such as new bid units or existing ones that haven't received enough clicks to be thoroughly evaluated. By default, this option is enabled.",,,,
5-Aug-2025,FR,EU-FR-Google-AMZ,Portfolio,Learning budget changed from 10% to 5%,Yun,"(Applicable to search campaigns with Manual CPC or eCPC bid strategies only) Allots a specified percentage of the portfolio's budget for Search, Social, & Commerce to systematically test unlearned bid units, such as new bid units or existing ones that haven't received enough clicks to be thoroughly evaluated. By default, this option is enabled.",,,,
5-Aug-2025,FR,EU-FR-Google-Brand-Plus,Portfolio,Learning budget changed from 20% to 5%,Yun,"(Applicable to search campaigns with Manual CPC or eCPC bid strategies only) Allots a specified percentage of the portfolio's budget for Search, Social, & Commerce to systematically test unlearned bid units, such as new bid units or existing ones that haven't received enough clicks to be thoroughly evaluated. By default, this option is enabled.",,,,
5-Aug-2025,IT,EU-IT-Google-Generic,Portfolio,Changed from 14 60 to 7/30 half life based on AMO recommendations,Andrew ,,,,,
5-Aug-2025,IT,EU-IT-Google-AMZ,Portfolio,Learning budget changed from 20% to 5%,Andrew ,"(Applicable to search campaigns with Manual CPC or eCPC bid strategies only) Allots a specified percentage of the portfolio's budget for Search, Social, & Commerce to systematically test unlearned bid units, such as new bid units or existing ones that haven't received enough clicks to be thoroughly evaluated. By default, this option is enabled.",,,,
5-Aug-2025,UK,EU-UK-Google-AMZ,Budget and modifiers,250,Andrew,$450.00,,,,
5-Aug-2025,UK,EU-UK-Google-GA_Top,Budget and modifiers,"$1,200",,"$1,500",,,,
5-Aug-2025,DE,EU-DE-Google-GA,Budget and modifiers,"	
$210.00
Min: $700.00
Max: $900.00",Andrew,"	
$210.00
Min: $800.00
Max: $1,200.00",-300,,,
5-Aug-2025,DE,EU-DE-Google-AMZ,Budget and modifiers,"$250.00
Min: $3,000.00
Max: $5,000.00",Andrew,"$250.00
Min: $4,000.00
Max: $6,000.00",-1000,,,
5-Aug-2025,DE,EU-DE-Google-Product-Vertical,Budget and modifiers,"	
$270.00
Min: $200.00
Max: $400.00",Andrew,"	
$270.00
Min: $400.00
Max: $800.00",-400,,,
5-Aug-2025,DE,EU-DE-Google-Generic,Budget and modifiers,"$280.00
Min: $6,300.00
Max: $9,000.00",Andrew,"$300.00
Min: $7,300.00
Max: $11,000.00",-2000,,,
5-Aug-2025,DE,EU-DE-Google-GA_Top,Budget and modifiers,"$200.00
Min: $200.00
Max: $400.00",Andrew,"$210.00
Min: $500.00
Max: $650.00",-250,,,
