Search Term,Keyword,Match Type,Campaign,Ad Group,Impressions,Clicks,Cost,CPC,Keyword Regs,Keyword CPA,Keyword Status
amazon marketing cloud,"""amazon empresarial""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,3,1,26.25,26.25,4,223.57,Converting KW
amazon supplier connect portal,"""amazon for business""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,2,1,26.16,26.16,0,,Zero-Reg KW
kpis de amazon,"""amazon empresarial""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,2,1,26.05,26.05,4,223.57,Converting KW
aws business,"""amazon empresarial""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,1,1,25.86,25.86,4,223.57,Converting KW
amazon print connect,"""amazon empresarial""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,4,1,25.66,25.66,4,223.57,Converting KW
amazon business logo,"""amazon business""",Phrase match,MX - Brand Phrase,Pure_Phrase,4,1,25.5,25.5,2,153.85,Converting KW
b2b proveedores,"""ventas b2b""",Phrase match (close variant),MX - Generic,B2B_Enterprise_Phrase,17,1,24.87,24.87,0,,Zero-Reg KW
amazon business login,"""cuenta de empresa de amazon""",Phrase match (close variant),MX - Brand Phrase,Account_Phrase,34,12,24.85,2.07,4,130.59,Converting KW
trituradora de papel,[trituradora de documentos],Exact match (close variant),MX - Office,Office Organization_Distributors_Exact,161,16,24.73,1.55,0,,Zero-Reg KW
trituradora de papel,[trituradora de documentos],Exact match (close variant),MX - Office,Office Organization_Distributors_Exact,161,16,24.73,1.55,0,,Zero-Reg KW
trituradora de papel,[trituradora de documentos],Exact match (close variant),MX - Office,Office Organization_Distributors_Exact,161,16,24.73,1.55,0,,Zero-Reg KW
trituradora de papel,[trituradora de documentos],Exact match (close variant),MX - Office,Office Organization_Distributors_Exact,161,16,24.73,1.55,0,,Zero-Reg KW
proveedores chinos,"""proveedor productos""",Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,63,11,24.61,2.24,7,154.55,Converting KW
ser agencia de amazon,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,12,3,24.11,8.04,13,167.13,Converting KW
factura de amazon,"""factura de amazon""",Exact match,MX - Invoice AMZ,Invoice_Phrase,19,4,23.7,5.93,0,,Zero-Reg KW
como cambiar mi cuenta de amazon business a personal,"""cuenta amazon business""",Phrase match,MX - Brand Phrase,Account_Phrase,13,1,22.96,22.96,8,67.5,Converting KW
pacas de ropa americana,"""comprar ropa para vender""",Phrase match (close variant),MX - Apparel,Clothing_Phrase,96,20,22.88,1.14,6,43.0,Converting KW
amazon 3pl,"""amazon empresarial""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,2,1,22.77,22.77,4,223.57,Converting KW
como recibir paquetes de amazon en mi negocio,"""amazon para empresas""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,12,4,22.25,5.56,6,100.37,Converting KW
amazonads,"""amazon empresarial""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,4,1,21.95,21.95,4,223.57,Converting KW
amazon proveedores,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,32,13,21.83,1.68,13,167.13,Converting KW
como facturar pedidos de amazon,"""como facturar en amazon""",Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,20,5,21.82,4.36,11,98.78,Converting KW
solicitar factura amazon,[solicitar factura amazon],Exact match,MX - Invoice AMZ,Invoicing_Exact,15,3,21.54,7.18,0,,Zero-Reg KW
amazon q business,"""amazon business""",Phrase match,MX - Brand Phrase,Pure_Phrase,16,1,21.39,21.39,2,153.85,Converting KW
como facturar compras de amazon,"""como facturar en amazon""",Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,21,6,20.76,3.46,11,98.78,Converting KW
sillas oficina,[sillas oficina],Exact match,MX - Office,Furniture_Exact,75,9,20.56,2.28,0,,Zero-Reg KW
corporativo amazon cdmx,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,10,3,20.28,6.76,13,167.13,Converting KW
amazon vendedor login,"""amazon business""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,6,3,20.11,6.7,2,153.85,Converting KW
distribuidores mayoristas para revendedores,[proveedor para mayoristas],Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,59,8,20.05,2.51,1,77.74,Converting KW
como ser una agencia de amazon,"""amazon negocios""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,10,1,19.94,19.94,5,113.63,Converting KW
bosanet,"""tienda b2b""",Phrase match (close variant),MX - Generic,B2B_Marketplace_Phrase,3,3,19.61,6.54,0,,Zero-Reg KW
facturar amazon mexico,"""facturar amazon mexico""",Exact match,MX - Invoice AMZ,Invoice_Phrase,29,5,19.61,3.92,0,,Zero-Reg KW
sillas de escritorio,[sillas oficina],Exact match (close variant),MX - Office,Furniture_Exact,224,12,19.54,1.63,0,,Zero-Reg KW
encuentra proveedores,[proveedores para negocios],Exact match (close variant),MX - Generic,Suppliers_Enterprises_Exact,2,2,19.34,9.67,0,,Zero-Reg KW
mayoristas,[venta al por mayor],Exact match (close variant),MX - Generic,Wholesales_Exact,65,7,18.99,2.71,0,,Zero-Reg KW
mcf amazon,"""amazon para empresas""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,4,1,18.9,18.9,6,100.37,Converting KW
como solicitar factura en amazon mexico,"""facturar amazon mexico""",Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,15,3,18.85,6.28,0,,Zero-Reg KW
donde comprar productos chinos para vender,"""proveedor productos""",Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,23,7,18.68,2.67,7,154.55,Converting KW
trituradora de papel,[trituradora de documentos],Exact match (close variant),MX - Product AMZ,Office_Office Organization_Distributors_Exact,166,8,18.6,2.33,0,,Zero-Reg KW
trituradora de papel,[trituradora de documentos],Exact match (close variant),MX - Product AMZ,Office_Office Organization_Distributors_Exact,166,8,18.6,2.33,0,,Zero-Reg KW
trituradora de papel,[trituradora de documentos],Exact match (close variant),MX - Product AMZ,Office_Office Organization_Distributors_Exact,166,8,18.6,2.33,0,,Zero-Reg KW
amazon ads mexico,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,15,3,18.45,6.15,13,167.13,Converting KW
facturar amazon mx,"""como facturar en amazon""",Phrase match (close variant),MX - Invoice AMZ,Invoice_Phrase,4,2,18.35,9.18,11,98.78,Converting KW
amazon supply chain management,"""amazon for business""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,2,1,18.15,18.15,0,,Zero-Reg KW
como puedo facturar en amazon,"""como puedo facturar en amazon""",Exact match,MX - Invoice AMZ,Invoice_Phrase,30,4,18.1,4.53,0,,Zero-Reg KW
amazon marketing,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,9,2,18.05,9.03,13,167.13,Converting KW
como sacar una factura de amazon,[factura amazon],Exact match (close variant),MX - Invoice AMZ,Invoice_Exact,7,2,17.8,8.9,1,276.03,Converting KW
amazon business model,"""amazon business""",Phrase match,MX - Brand Phrase,Pure_Phrase,6,1,17.75,17.75,2,153.85,Converting KW
facturar tarjetas de regalo amazon,"""como facturar una tarjeta de regalo de amazon""",Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,6,3,17.64,5.88,0,,Zero-Reg KW
sombreros por mayoreo cdmx,amazon compra por mayor,Broad match,MX - Generic AMZ,Generic_Wholesales_Broad,2,1,17.49,17.49,6,40.93,Converting KW
tecnoback mayoristas,"""proveedor productos""",Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,159,11,17.45,1.59,7,154.55,Converting KW
proveedores de papeleria mayoreo,[comercio al por mayor de artículos de papelería],Exact match (close variant),MX - Office,Wholesales_Exact,16,3,17.39,5.8,0,,Zero-Reg KW
como facturar mis compras en amazon,"""como facturar mis compras en amazon""",Exact match,MX - Invoice AMZ,Invoice_Phrase,15,4,17.38,4.35,0,,Zero-Reg KW
venta de cerveza a precio de fábrica,"""distribuidor de bebidas""",Phrase match (close variant),MX - Food,Food_Distributor_Phrase,92,10,17.29,1.73,7,59.86,Converting KW
sillas para escritorio,[sillas oficina],Exact match (close variant),MX - Office,Furniture_Exact,101,8,17.29,2.16,0,,Zero-Reg KW
amazon business day,"""amazon para empresas""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,3,1,17.12,17.12,6,100.37,Converting KW
mi cuenta amazon,"""a cuenta amazon""",Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,49,8,17.11,2.14,1,136.9,Converting KW
proveedor mayorista,[proveedores para mayoristas],Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,9,2,16.99,8.49,0,,Zero-Reg KW
loza para restaurante,"""vajilla profesional""",Phrase match (close variant),MX - Food,Cultlery_Phrase,59,5,16.92,3.38,1,239.41,Converting KW
registrarse como vendedor en amazon,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,2,1,16.91,16.91,13,167.13,Converting KW
como solicitar factura en amazon,"""como solicitar factura en amazon""",Exact match,MX - Invoice AMZ,Invoice_Phrase,47,4,16.7,4.18,0,,Zero-Reg KW
silla para escritorio,[sillas oficina],Exact match (close variant),MX - Office,Furniture_Exact,120,12,16.45,1.37,0,,Zero-Reg KW
vasos de vidrio por mayoreo,"""proveedores de cristalería""",Phrase match (close variant),MX - Food,Cultlery_Suppliers_Phrase,60,10,16.39,1.64,3,69.14,Converting KW
mesas para restaurante,[mesas para restaurante],Exact match,MX - Food,Furniture_Restaurant_Exact,84,14,16.36,1.17,0,,Zero-Reg KW
1688 com en español,"""tienda al por mayor en línea""",Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,77,11,16.2,1.47,18,109.3,Converting KW
office depot cdmx,"""suministros oficina""",Phrase match (close variant),MX - Office,Generic_Phrase,156,9,16.19,1.8,1,662.23,Converting KW
mayoristas,[proveedores al por mayor],Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,114,10,16.19,1.62,5,48.47,Converting KW
amazon business precio,"""cuenta de empresa en amazon""",Phrase match (close variant),MX - Brand Phrase,Account_Phrase,48,7,15.91,2.27,15,46.07,Converting KW
crm de amazon,"""amazon empresarial""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,5,1,15.9,15.9,4,223.57,Converting KW
muebles de oficina,[muebles de oficina],Exact match,MX - Office,Furniture_Exact,50,9,15.8,1.76,0,,Zero-Reg KW
se puede facturar en amazon mexico,"""facturar amazon mexico""",Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,18,4,15.79,3.95,0,,Zero-Reg KW
enterprise integration patterns amazon,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,2,1,15.73,15.73,13,167.13,Converting KW
amazon spn,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,10,2,15.68,7.84,13,167.13,Converting KW
corporativo de amazon,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,15,2,15.58,7.79,13,167.13,Converting KW
amazon partner delivery,"""amazon empresarial""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,2,1,15.57,15.57,4,223.57,Converting KW
como facturar de amazon,"""como facturar de amazon""",Exact match,MX - Invoice AMZ,Invoice_Phrase,7,2,15.37,7.69,0,,Zero-Reg KW
compras mayoreo,[proveedores al por mayor],Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,8,4,15.36,3.84,5,48.47,Converting KW
proveedores de papeleria,[comercio al por mayor de artículos de papelería],Exact match (close variant),MX - Office,Wholesales_Exact,85,12,15.14,1.26,0,,Zero-Reg KW
proveedores de papelería al mayoreo,[comercio al por mayor de artículos de papelería],Exact match (close variant),MX - Office,Wholesales_Exact,52,6,15.11,2.52,0,,Zero-Reg KW
como conseguir proveedores,"""proveedor para empresas""",Phrase match (close variant),MX - Generic,Suppliers_Enterprises_Phrase,23,4,15.06,3.77,4,68.08,Converting KW
venta de sillas y mesas por mayoreo precio,"""tienda al por mayor en línea""",Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,47,8,14.76,1.85,18,109.3,Converting KW
proveedores para tienda de regalos en méxico,"""distribuidor para negocios""",Phrase match (close variant),MX - Generic,Distributors_Enterprises_Phrase,3,2,14.72,7.36,1,293.12,Converting KW
partner amazon,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,6,1,14.69,14.69,13,167.13,Converting KW
payee central amazon,"""amazon empresarial""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,2,1,14.63,14.63,4,223.57,Converting KW
amazon da factura,"""factura de amazon""",Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,1,1,14.58,14.58,0,,Zero-Reg KW
proveedores de maquillaje,[distribuidores de maquillaje],Exact match (close variant),MX - Beauty,Makeup_Distributors_Exact,31,6,14.57,2.43,1,59.38,Converting KW
como facturar un pedido de amazon,"""como facturar en amazon""",Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,15,5,14.48,2.9,11,98.78,Converting KW
amazon corporativo mexico,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,29,4,14.38,3.6,13,167.13,Converting KW
facturación amazon,[facturación amazon],Exact match,MX - Invoice AMZ,Invoice_Exact,27,5,14.33,2.87,0,,Zero-Reg KW
amazon business units,"""cuenta amazon business""",Phrase match (close variant),MX - Brand Phrase,Account_Phrase,2,1,14.11,14.11,8,67.5,Converting KW
giro comercial de amazon,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,14,1,14.07,14.07,13,167.13,Converting KW
amazon delivery execution,"""amazon empresarial""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,2,1,13.96,13.96,4,223.57,Converting KW
sillas altas para barra,"""sillas de bar""",Phrase match (close variant),MX - Food,Furniture_Restaurant_Phrase,56,4,13.89,3.47,0,,Zero-Reg KW
productos de limpieza,[comprar artículos de limpieza],Exact match (close variant),MX - Janitorial,Purchasing_Supplies_Exact,299,6,13.88,2.31,0,,Zero-Reg KW
amazon business como funciona,"""cuenta de empresa en amazon""",Phrase match (close variant),MX - Brand Phrase,Account_Phrase,37,4,13.86,3.47,15,46.07,Converting KW
amazon ads register,"""amazon empresarial""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,6,1,13.85,13.85,4,223.57,Converting KW
mayoreo calcetines de 3 pesos,"""mayorista españa""",Phrase match (close variant),MX - Generic,Core_Wholesalers_Phrase,3,3,13.7,4.57,3,109.28,Converting KW
como funciona amazon business,"""cuenta de empresa en amazon""",Phrase match (close variant),MX - Brand Phrase,Account_Phrase,40,6,13.61,2.27,15,46.07,Converting KW
amazon admin,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,2,1,13.43,13.43,13,167.13,Converting KW
herramientas baratas para revender,"""proveedor productos""",Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,14,6,13.42,2.24,7,154.55,Converting KW
como pedir factura en amazon,"""como pedir factura en amazon""",Exact match,MX - Invoice AMZ,Invoice_Phrase,37,3,13.41,4.47,0,,Zero-Reg KW
amazon emite factura,"""como facturar en amazon""",Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,7,2,13.39,6.7,11,98.78,Converting KW
productos de limpieza a granel para negocio,"""mayoristas de artículos de limpieza""",Phrase match (close variant),MX - Janitorial,Wholesalers_Phrase,41,6,13.39,2.23,1,195.2,Converting KW
muebles para oficina,[muebles para oficina],Exact match,MX - Office,Office Furniture_Exact,112,8,13.38,1.67,0,,Zero-Reg KW
proveedores chinos,"""compras proveedor""",Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,56,9,13.36,1.48,4,142.51,Converting KW
papeleria por mayoreo,[comercio al por mayor de artículos de papelería],Exact match (close variant),MX - Office,Wholesales_Exact,40,3,13.33,4.44,0,,Zero-Reg KW
como cambiar de amazon business a amazon normal,"""cuenta de empresa de amazon""",Phrase match (close variant),MX - Brand Phrase,Account_Phrase,3,1,13.29,13.29,4,130.59,Converting KW
amazon negocios,[amazon negocios],Exact match,MX - Brand Exact,Pure_Exact,143,64,13.27,0.21,11,1.21,Converting KW
silla escritorio,[sillas oficina],Exact match (close variant),MX - Office,Furniture_Exact,160,7,13.26,1.89,0,,Zero-Reg KW
tintes a precio de fábrica,"""distribuidores de productos para el cabello""",Phrase match (close variant),MX - Beauty,Hair Styling_Distributors_Phrase,15,6,13.18,2.2,4,130.23,Converting KW
maquillaje a mayoreo,[mayorista de maquillaje],Exact match (close variant),MX - Beauty,Makeup_Wholesale_Exact,43,11,13.18,1.2,1,168.77,Converting KW
como sacar factura de amazon,"""como facturar en amazon""",Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,6,2,13.11,6.56,11,98.78,Converting KW
amazon se puede facturar,"""como facturar en amazon""",Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,5,2,13.06,6.53,11,98.78,Converting KW
leche condensada pronto mayoreo,"""productos lácteos al por mayor""",Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,10,3,13.03,4.34,2,79.13,Converting KW
https sellercentral amazon com mario ipi ipisellerverificationservice global node verificationrequired render,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,2,1,12.94,12.94,13,167.13,Converting KW
que es amazon wholesale,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,3,1,12.86,12.86,13,167.13,Converting KW
proveedor de maquillaje,[proveedor de maquillaje],Exact match,MX - Beauty,Makeup_Supplier_Exact,35,6,12.85,2.14,0,,Zero-Reg KW
venta de sillas y mesas para fiestas por mayoreo,"""tienda al por mayor en línea""",Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,26,9,12.85,1.43,18,109.3,Converting KW
how to sell in amazon mexico,"""amazon negocios""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,1,1,12.85,12.85,5,113.63,Converting KW
proveedores de papelería por mayoreo,[comercio al por mayor de artículos de papelería],Exact match (close variant),MX - Office,Wholesales_Exact,25,6,12.83,2.14,0,,Zero-Reg KW
proveedores de papelería por mayoreo cdmx,"""distribuidor de suministros""",Phrase match (close variant),MX - Crafts,Home Accessories_Distributor_Phrase,9,2,12.82,6.41,8,107.77,Converting KW
