Search Term,Keyword,Match Type,Campaign,Ad Group,Impressions,Clicks,Cost,CPC,Keyword Regs,Keyword CPA,Keyword Status
amazon spn partner list,"""amazon business information""",Phrase match (close variant),AU_Brand_Phrase,Navigation_Phrase,2,2,26.84,13.42,2,247.98,Converting KW
cheap bulk groceries online australia,"""bulk buy food""",Phrase match (close variant),AU_Generic_P-V_Food,Food_Bulk_Phrase,53,8,25.84,3.23,4,128.88,Converting KW
desk organiser,"""desk equipment""",Phrase match (close variant),AU_Generic_P-V_Office,Products_Phrase,95,6,25.6,4.27,1,385.77,Converting KW
small business,"""companies business""",Phrase match (close variant),AU_Generic,Enterprises_Shop_Phrase,27,3,25.58,8.53,0,,Zero-Reg KW
cheap bulk buys australia,"""bulk distributor""",Phrase match (close variant),AU_Generic,Bulk_Distributors_Phrase,11,4,25.47,6.37,0,,Zero-Reg KW
dropshipping suppliers,"""other suppliers""",Phrase match (close variant),AU_Generic_P-V_Apparel,Hosiery & Socks_Suppliers_Phrase,31,3,25.35,8.45,0,,Zero-Reg KW
bulk order drinks,[bulk drinks],Exact match (close variant),AU_Generic_P-V_Food,Food_Bulk_Exact,1,2,24.78,12.39,1,69.63,Converting KW
bulk shampoo and conditioner,"""bulk shampoo""",Phrase match,AU_Generic_P-V_Beauty,Hair-Styling_Bulk_Phrase,35,6,24.75,4.13,0,,Zero-Reg KW
buying dates in bulk,"""bulk dried fruit""",Phrase match (close variant),AU_Generic_P-V_Food,Food_Bulk_Phrase,1,2,24.64,12.32,0,,Zero-Reg KW
wholesale candle jars australia,"""wholesaler au""",Phrase match (close variant),AU_Generic,Wholesalers_Phrase,2,2,24.58,12.29,0,,Zero-Reg KW
industrial vacuum cleaners,[professional vacuums],Exact match (close variant),AU_Generic_P-V_Janitorial,Floor-Care_Exact,24,3,24.08,8.03,1,37.69,Converting KW
buy bulk food,[wholesale foodstuffs],Exact match (close variant),AU_Generic_P-V_Food,Wholesales_Food_Exact,9,5,23.49,4.7,0,,Zero-Reg KW
amazon business 20,"""amazon business account""",Phrase match (close variant),AU_Brand_Phrase,Account_ Phrase,3,2,23.46,11.73,2,129.13,Converting KW
amazon business worth it,"""amazon business portal""",Phrase match (close variant),AU_Brand_Phrase,Navigation_Phrase,2,2,23.42,11.71,4,90.26,Converting KW
what is the benefit of amazon business account,"""amazon business prime""",Phrase match (close variant),AU_Brand_Phrase,Prime_Phrase,4,2,23.34,11.67,0,,Zero-Reg KW
korean skincare wholesale,"""cosmetics wholesaler""",Phrase match (close variant),AU_Generic_P-V_Beauty,Wholesalers_Cosmetics_Phrase,10,4,23.27,5.82,0,,Zero-Reg KW
party supplies,[party suppliers],Exact match (close variant),AU_Generic_P-V_Celebrations,Party_Suppliers_Exact,20,2,23.26,11.63,1,23.26,Converting KW
bulk paper towel,[bulk paper towels],Exact match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,34,3,22.67,7.56,1,22.88,Converting KW
bulk paper towel,[bulk paper towels],Exact match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,34,3,22.67,7.56,1,81.2,Converting KW
bulk buy,[buy bulk],Exact match (close variant),AU_Generic,Bulk_Buy_Exact,40,4,22.48,5.62,0,,Zero-Reg KW
bulk drink,[bulk drinks],Exact match (close variant),AU_Generic_P-V_Food,Food_Bulk_Exact,2,2,22.37,11.19,1,69.63,Converting KW
amazon prime business account benefits,"""amazon business prime""",Phrase match,AU_Brand_Phrase,Prime_Phrase,8,2,22.35,11.18,0,,Zero-Reg KW
paper towel bulk,[bulk paper towels],Exact match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,28,3,22.28,7.43,1,81.2,Converting KW
paper towel bulk,[bulk paper towels],Exact match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,28,3,22.28,7.43,1,22.88,Converting KW
advantages of amazon business,[amazon business account benefits],Exact match (close variant),AU_Brand_Exact,Account_Exact,2,2,22.24,11.12,0,,Zero-Reg KW
wholesalers,[wholesaler],Exact match (close variant),AU_Generic,Wholesalers_Exact,23,3,22.21,7.4,0,,Zero-Reg KW
amazon business ozbargain,"""amazon business prime""",Phrase match (close variant),AU_Brand_Phrase,Prime_Phrase,8,2,22.07,11.04,0,,Zero-Reg KW
cheap bulk food online,"""bulk goods""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,8,3,22.0,7.33,0,,Zero-Reg KW
pilbara shirts wholesale,"""clothing wholesalers""",Phrase match (close variant),AU_Generic_P-V_Shops,Wholesale_Clothing,2,3,21.97,7.32,3,151.68,Converting KW
bulk mason jars australia,"""jars bulk""",Phrase match,AU_Generic_P-V_Food,Plates_Bulk_Phrase,24,4,21.45,5.36,5,120.9,Converting KW
office furniture,[office furniture],Exact match,AU_Generic_P-V_Office,Furniture_Exact,70,6,21.45,3.58,1,21.45,Converting KW
wholesale hair extensions australia,"""human hair suppliers""",Phrase match (close variant),AU_Generic_P-V_Beauty,Hair-Appliances_Supplier_Phrase,8,3,20.68,6.89,0,,Zero-Reg KW
where can i buy travel size toiletries in bulk,"""bulk goods""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,2,20.64,10.32,0,,Zero-Reg KW
how to make an amazon shop page,"""amazon business information""",Phrase match (close variant),AU_Brand_Phrase,Navigation_Phrase,2,2,20.62,10.31,2,247.98,Converting KW
candle jars with lids wholesale,"""jars bulk""",Phrase match (close variant),AU_Generic_P-V_Food,Plates_Bulk_Phrase,5,4,20.54,5.14,5,120.9,Converting KW
cerave wholesale distributors near me,"""cosmetics wholesaler""",Phrase match (close variant),AU_Generic_P-V_Beauty,Wholesalers_Cosmetics_Phrase,5,4,20.38,5.1,0,,Zero-Reg KW
bulk food supplies,"""products in large quantities""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,5,2,20.31,10.15,0,,Zero-Reg KW
business associate amazon,"""amazon for business""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,1,1,20.25,20.25,6,75.21,Converting KW
bulk paper plates,"""bulk paper products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk,14,3,20.2,6.73,3,115.3,Converting KW
bulk paper plates,"""bulk paper products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk,14,3,20.2,6.73,3,3.81,Converting KW
amazon business account requirements,[how to set up a business amazon account],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,2,1,20.0,20.0,3,46.24,Converting KW
how to set up an amazon business,[setup amazon business account],Exact match (close variant),AU_Brand_Exact,Account_Exact,2,1,19.96,19.96,2,48.23,Converting KW
how to open amazon business account,[amazon business open account],Exact match (close variant),AU_Brand_Exact,Account_Exact,3,1,19.89,19.89,2,24.71,Converting KW
dnd gel polish wholesale australia,"""bulk nail polish""",Phrase match (close variant),AU_Generic_P-V_Beauty,Nail-Care_Bulk_Phrase,6,3,19.85,6.62,1,88.61,Converting KW
how to make amazon business account,[how to get amazon business account],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,1,1,19.78,19.78,2,43.56,Converting KW
school supplies in bulk,"""bulk goods""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,1,2,19.74,9.87,0,,Zero-Reg KW
amazon business discount codes,"""amazon for business""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,1,1,19.73,19.73,6,75.21,Converting KW
amazon merchant sign in,[amazon business account sign in],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,2,1,19.71,19.71,1,53.56,Converting KW
how to open a store in amazon,[amazon business registration],Exact match (close variant),AU_Brand_Exact,Account_Exact,1,1,19.64,19.64,3,50.12,Converting KW
amazon business prime australia,[business prime au],Exact match (close variant),AU_Brand_Exact,Prime_Exact,8,4,19.58,4.89,0,,Zero-Reg KW
amazon sell account create,[how to create an amazon business account],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,1,1,19.53,19.53,4,35.43,Converting KW
how to get amazon professional seller account,[how to create an amazon business account],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,1,1,19.45,19.45,4,35.43,Converting KW
what is amazon business,[business amazon],Exact match (close variant),AU_Brand_Exact,Pure_Exact,7,1,19.34,19.34,1,119.55,Converting KW
sign up for amazon business account,[amazon business account sign up],Exact match (close variant),AU_Brand_Exact,Account_Exact,2,1,19.33,19.33,0,,Zero-Reg KW
is amazon business free,[amazon business free],Exact match (close variant),AU_Brand_Exact,Account_Exact,13,1,19.25,19.25,0,,Zero-Reg KW
how to start amazon business in australia,[amazon business au],Exact match (close variant),AU_Brand_Exact,Pure_Exact,1,1,19.16,19.16,0,,Zero-Reg KW
how to sell on amazon as a business,[how to set up a business amazon account],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,2,1,19.14,19.14,3,46.24,Converting KW
amazon business deutschland,[amazon business],Exact match (close variant),AU_Brand_Exact,Pure_Exact,6,1,19.12,19.12,87,9.45,Converting KW
does amazon business cost money,[amazon business cost],Exact match (close variant),AU_Brand_Exact,Pure_Exact,2,1,19.11,19.11,1,66.87,Converting KW
balloon equipment suppliers,"""party decorations suppliers""",Phrase match (close variant),AU_Generic_P-V_Celebrations,Party_Suppliers_Phrase,1,2,19.1,9.55,1,42.67,Converting KW
how does amazon business work,[amazon business information],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,6,2,19.06,9.53,0,,Zero-Reg KW
disposable cameras bulk,[wholesale disposable cameras],Exact match (close variant),AU_Generic_P-V_Electronics,Camera-Accessories_Wholesale_Exact,5,2,19.01,9.51,0,,Zero-Reg KW
amazon corporate,[business amazon],Exact match (close variant),AU_Brand_Exact,Pure_Exact,6,1,18.91,18.91,1,119.55,Converting KW
cheap bulk lollies australia,"""buy bulk sweets""",Phrase match (close variant),AU_Generic_P-V_Food,Sweets_Bulk_Phrase,34,6,18.84,3.14,2,227.29,Converting KW
what is amazon business account,[business amazon],Exact match (close variant),AU_Brand_Exact,Pure_Exact,2,1,18.79,18.79,1,119.55,Converting KW
how to set up a amazon business account,[setup amazon business account],Exact match (close variant),AU_Brand_Exact,Account_Exact,2,2,18.76,9.38,2,48.23,Converting KW
buying business,"""companies business""",Phrase match (close variant),AU_Generic,Enterprises_Shop_Phrase,4,2,18.66,9.33,0,,Zero-Reg KW
salon basins for sale,"""professional beauty products""",Phrase match (close variant),AU_Generic_P-V_Beauty,Products_Cosmetics_Phrase,8,4,18.36,4.59,8,113.14,Converting KW
do you have to pay for amazon business account,[amazon business account cost],Exact match (close variant),AU_Brand_Exact,Account_Exact,2,1,18.34,18.34,0,,Zero-Reg KW
wholesale dry goods,"""suppliers products""",Phrase match (close variant),AU_Generic,Suppliers_Products_Phrase,1,2,18.28,9.14,0,,Zero-Reg KW
beauty salon supplies australia,"""professional beauty products""",Phrase match (close variant),AU_Generic_P-V_Beauty,Products_Cosmetics_Phrase,7,3,18.27,6.09,8,113.14,Converting KW
baby wipes wholesale,"""wipes supplier""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Tools_Supplier_Phrase,2,2,18.21,9.11,1,26.7,Converting KW
cleaning products,[cleaning products],Exact match,AU_Generic_P-V_Janitorial,Products_Exact,119,4,18.2,4.55,1,105.82,Converting KW
cake boxes,[commercial cake boxes],Exact match (close variant),AU_Generic_P-V_Food,Kitchen Tools_Exact,28,5,17.8,3.56,1,46.16,Converting KW
bulk drink bottles,[water bottles wholesale],Exact match (close variant),AU_Generic_P-V_Food,Drinks_Bulk_Exact,14,3,17.78,5.93,0,,Zero-Reg KW
dropshipping suppliers,"""distributor companies""",Phrase match (close variant),AU_Generic,Distributors_Enterprises_Phrase,15,3,17.73,5.91,0,,Zero-Reg KW
amazon business prime membership,[business prime],Exact match (close variant),AU_Brand_Exact,Prime_Exact,3,1,17.72,17.72,2,63.26,Converting KW
amazon b2b,"""amazon company account""",Phrase match (close variant),AU_Brand_Phrase,Account_ Phrase,2,1,17.58,17.58,3,141.62,Converting KW
amazon online business,"""amazon company account""",Exact match (close variant),AU_Brand_Phrase,Account_ Phrase,2,2,17.54,8.77,3,141.62,Converting KW
bulk mason jars,"""jars bulk""",Phrase match,AU_Generic_P-V_Food,Plates_Bulk_Phrase,26,4,17.51,4.38,5,120.9,Converting KW
cadbury wholesale australia,"""chocolate wholesalers""",Phrase match (close variant),AU_Generic_P-V_Food,Food_Wholesalers_Phrase,10,3,17.42,5.81,1,242.11,Converting KW
amazon business amazon com,"""amazon prime business""",Phrase match (close variant),AU_Brand_Phrase,Prime_Phrase,2,1,17.32,17.32,3,89.74,Converting KW
start a delivery business with amazon,"""amazon business registration""",Phrase match (close variant),AU_Brand_Phrase,Account_ Phrase,2,1,17.3,17.3,0,,Zero-Reg KW
amazon business dashboard,[amazon business portal],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,2,1,17.2,17.2,0,,Zero-Reg KW
facial tissue bulk,"""tissue paper distributor""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Paper_Distributor_Phrase,8,2,17.16,8.58,0,,Zero-Reg KW
how to open an amazon store,[amazon business registration],Exact match (close variant),AU_Brand_Exact,Account_Exact,2,1,17.09,17.09,3,50.12,Converting KW
amazon e commerce,"""online shop for companies""",Phrase match (close variant),AU_Generic,Enterprises_Shop_Phrase,2,2,17.01,8.51,0,,Zero-Reg KW
perks of amazon business account,[amazon business benefits],Exact match (close variant),AU_Brand_Exact,Account_Exact,4,1,16.91,16.91,1,97.09,Converting KW
is amazon business worth it,[amazon business account review],Exact match (close variant),AU_Brand_Exact,Account_Exact,14,1,16.84,16.84,0,,Zero-Reg KW
jurlique wholesale,"""professional beauty products""",Phrase match (close variant),AU_Generic_P-V_Beauty,Products_Cosmetics_Phrase,7,2,16.53,8.27,8,113.14,Converting KW
bulk suppliers australia,"""wholesaler au""",Phrase match (close variant),AU_Generic,Wholesalers_Phrase,2,2,16.5,8.25,0,,Zero-Reg KW
business prime duo,[business prime duo],Exact match,AU_Brand_Exact,Prime_Exact,19,2,16.46,8.23,0,,Zero-Reg KW
lolly bags bulk,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,4,2,16.36,8.18,0,,Zero-Reg KW
bulk chocolate,[bulk chocolate],Exact match,AU_Generic_P-V_Food,Food_Bulk_Exact,38,5,16.3,3.26,0,,Zero-Reg KW
business with amazon,[amazon business],Exact match (close variant),AU_Brand_Exact,Pure_Exact,1,1,16.22,16.22,87,9.45,Converting KW
bulk washing powder,"""bulk laundry supplies""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Industrial-Chemicals_Bulk_Phrase,27,2,16.15,8.07,1,129.66,Converting KW
amazon marketplace account,"""amazon company account""",Phrase match (close variant),AU_Brand_Phrase,Account_ Phrase,2,1,16.06,16.06,3,141.62,Converting KW
bulk laundry detergent,[bulk detergent],Exact match (close variant),AU_Generic_P-V_Janitorial,Detergent_Bulk_Exact,23,3,16.05,5.35,1,35.57,Converting KW
bulk buying australia,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,4,2,15.82,7.91,0,,Zero-Reg KW
hand cream bulk,"""bulk moisturizer""",Phrase match (close variant),AU_Generic_P-V_Beauty,Skin-Care_Bulk_Phrase,4,2,15.82,7.91,0,,Zero-Reg KW
bulk paper towels,[bulk paper towels],Exact match,AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,8,2,15.76,7.88,1,22.88,Converting KW
bulk paper towels,[bulk paper towels],Exact match,AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,8,2,15.76,7.88,1,81.2,Converting KW
amazon com au business account,"""amazon business account""",Phrase match,AU_Brand_Phrase,Account_ Phrase,4,2,15.61,7.81,2,129.13,Converting KW
bulk toilet paper australia,"""bulk toilet paper""",Phrase match,AU_Generic_P-V_Janitorial,Paper_Bulk,55,4,15.54,3.89,0,,Zero-Reg KW
wholesale canned food,[wholesale canned food],Exact match,AU_Generic_P-V_Food,Food_Wholesale_Exact,6,2,15.53,7.77,0,,Zero-Reg KW
company for sale australia,"""companies business""",Phrase match (close variant),AU_Generic,Enterprises_Shop_Phrase,3,2,15.53,7.77,0,,Zero-Reg KW
how to start business in amazon,[how to set up a business amazon account],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,1,1,15.49,15.49,3,46.24,Converting KW
beauty machine supplier,"""professional beauty products""",Phrase match (close variant),AU_Generic_P-V_Beauty,Products_Cosmetics_Phrase,3,2,15.49,7.75,8,113.14,Converting KW
start amazon business,[amazon business open account],Exact match (close variant),AU_Brand_Exact,Account_Exact,3,1,15.49,15.49,2,24.71,Converting KW
all about amazon company,[amazon business information],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,2,1,15.49,15.49,0,,Zero-Reg KW
order business cards,[business cards vendor],Exact match (close variant),AU_Generic_P-V_Office,Office-Supplies_Exact,4,2,15.49,7.75,0,,Zero-Reg KW
office chairs,"""office furniture""",Phrase match (close variant),AU_Generic_P-V_Office,Furniture_Phrase,49,6,15.47,2.58,1,178.75,Converting KW
wholesale t shirts,[t-shirts distributors],Exact match (close variant),AU_Generic_P-V_Apparel,Tops_Distributors_Exact,11,3,15.36,5.12,0,,Zero-Reg KW
bulk keyrings australia,"""bulk accessories""",Phrase match (close variant),AU_Generic_P-V_Shops,Accessories_Bulk_Phrase,3,2,15.33,7.67,0,,Zero-Reg KW
wholesale nutritional supplement distributors,"""suppliers products""",Phrase match (close variant),AU_Generic,Suppliers_Products_Phrase,4,2,15.32,7.66,0,,Zero-Reg KW
how to set up amazon business account,[how to create an amazon business account],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,1,1,15.27,15.27,4,35.43,Converting KW
how to do business with amazon,[amazon business registration],Exact match (close variant),AU_Brand_Exact,Account_Exact,1,1,15.23,15.23,3,50.12,Converting KW
bulk shampoo and conditioner suppliers australia,"""bulk bath products""",Phrase match (close variant),AU_Generic_P-V_Beauty,Skin-Care_Bulk_Phrase,12,3,15.16,5.05,1,216.94,Converting KW
wholesale dog toys australia,"""bulk pet supplies""",Phrase match (close variant),AU_Generic_P-V_Shops,Bulk_Pet Shop_Phrase,3,3,15.15,5.05,2,144.05,Converting KW
bulk buying,[bulk suppliers],Exact match (close variant),AU_Generic,Bulk_Suppliers_Exact,20,2,15.08,7.54,0,,Zero-Reg KW
cosmetic jars wholesale australia,"""jars bulk""",Phrase match (close variant),AU_Generic_P-V_Food,Plates_Bulk_Phrase,8,4,15.01,3.75,5,120.9,Converting KW
pigs ears for dogs bulk,"""bulk pet supplies""",Phrase match (close variant),AU_Generic_P-V_Shops,Bulk_Pet Shop_Phrase,8,3,14.94,4.98,2,144.05,Converting KW
bulk 3 ply toilet paper,"""tissue paper distributor""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Paper_Distributor_Phrase,5,2,14.93,7.47,0,,Zero-Reg KW
reception desk,"""office supplies""",Phrase match (close variant),AU_Generic_P-V_Office,Office_Phrase,50,5,14.9,2.98,0,,Zero-Reg KW
business cards printing,[business cards vendor],Exact match (close variant),AU_Generic_P-V_Office,Office-Supplies_Exact,24,2,14.87,7.44,0,,Zero-Reg KW
wholesale hoodies australia,"""wholesaler au""",Phrase match (close variant),AU_Generic,Wholesalers_Phrase,3,2,14.87,7.44,0,,Zero-Reg KW
how much does amazon business account cost,[amazon business cost],Exact match (close variant),AU_Brand_Exact,Pure_Exact,2,1,14.85,14.85,1,66.87,Converting KW
amazon com au business account,"""amazon au business""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,2,1,14.79,14.79,2,123.77,Converting KW
bulk shopping,[bulk suppliers],Exact match (close variant),AU_Generic,Bulk_Suppliers_Exact,11,1,14.79,14.79,0,,Zero-Reg KW
nail polish wholesale,"""bulk nail polish""",Exact match (close variant),AU_Generic_P-V_Beauty,Nail-Care_Bulk_Phrase,5,2,14.77,7.39,1,88.61,Converting KW
what are the benefits of amazon business,[amazon business benefits],Exact match (close variant),AU_Brand_Exact,Account_Exact,6,1,14.76,14.76,1,97.09,Converting KW
wholesale baby clothes suppliers australia,"""baby clothing sets suppliers""",Phrase match (close variant),AU_Generic_P-V_Apparel,Accessories Baby_Suppliers_Phrase,8,4,14.75,3.69,0,,Zero-Reg KW
amazon prime business model,"""amazon business prime""",Phrase match,AU_Brand_Phrase,Prime_Phrase,2,1,14.75,14.75,0,,Zero-Reg KW
under desk cable management,"""desk equipment""",Phrase match (close variant),AU_Generic_P-V_Office,Products_Phrase,24,3,14.72,4.91,1,385.77,Converting KW
bulk items to resell,"""bulk distributor""",Phrase match (close variant),AU_Generic,Bulk_Distributors_Phrase,1,1,14.7,14.7,0,,Zero-Reg KW
nutella wholesale,"""wholesale chocolate""",Phrase match (close variant),AU_Generic_P-V_Food,Food_Wholesale_Phrase,1,2,14.6,7.3,0,,Zero-Reg KW
powerade wholesale,"""wholesale soft drinks""",Phrase match (close variant),AU_Generic_P-V_Food,Drinks_Wholesale_Phrase,2,2,14.58,7.29,1,115.32,Converting KW
amazon enterprise access for iphone,"""amazon for business""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,1,1,14.56,14.56,6,75.21,Converting KW
wholesale retailers,"""bulk distributor""",Phrase match (close variant),AU_Generic,Bulk_Distributors_Phrase,1,1,14.54,14.54,0,,Zero-Reg KW
amazon product delivery franchise,"""amazon for business""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,2,1,14.53,14.53,6,75.21,Converting KW
china wholesaler,"""buy wholesale""",Phrase match (close variant),AU_Generic,Wholesales_Buy_Phrase,1,2,14.48,7.24,0,,Zero-Reg KW
wholesalers brisbane,"""bulk distributor""",Phrase match (close variant),AU_Generic,Bulk_Distributors_Phrase,2,1,14.47,14.47,0,,Zero-Reg KW
cheap bulk chocolate australia,"""bulk chocolate""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,33,4,14.45,3.61,3,79.4,Converting KW
wholesale chocolate chips,"""wholesale chocolate""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,1,2,14.42,7.21,0,,Zero-Reg KW
pallet of toilet paper,"""bulk commercial toilet paper""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk_Phrase,3,2,14.26,7.13,0,,Zero-Reg KW
best place to buy bulk food online australia,"""buy bulk""",Phrase match,AU_Generic,Bulk_Buy_Phrase,19,3,14.26,4.75,0,,Zero-Reg KW
industrial cleaning supplies,[janitorial products],Exact match (close variant),AU_Generic_P-V_Janitorial,Products_Exact,11,3,14.23,4.74,1,51.8,Converting KW
amazon business vs amazon prime,"""amazon prime business""",Phrase match,AU_Brand_Phrase,Prime_Phrase,2,1,14.2,14.2,3,89.74,Converting KW
wholesale t shirts melbourne,"""t-shirts suppliers""",Phrase match (close variant),AU_Generic_P-V_Apparel,Tops_Suppliers_Phrase,10,2,14.19,7.1,0,,Zero-Reg KW
dell business desktop,"""computers for business""",Phrase match (close variant),AU_Generic_P-V_Electronics,Computers_Phrase,2,2,14.13,7.07,0,,Zero-Reg KW
office accessories,[office accessories],Exact match,AU_Generic_P-V_Office,Office_Exact,17,3,14.11,4.7,0,,Zero-Reg KW
ecms express amazon,"""amazon business delivery""",Phrase match (close variant),AU_Brand_Phrase,Navigation_Phrase,14,2,14.11,7.06,2,32.41,Converting KW
wholesale hoodies in bulk,"""clothing wholesalers""",Phrase match (close variant),AU_Generic_P-V_Shops,Wholesale_Clothing,2,1,14.05,14.05,3,151.68,Converting KW
