Keyword,Match Type,Campaign,Ad Group,Impressions,Clicks,Cost,Registrations,CPC,CPA,CTR %,Conv Rate %
"""t-shirts suppliers""",Phrase match,AU_Generic_P-V_Apparel,Tops_Suppliers_Phrase,1393,147,822.95,0,5.6,,10.55,0.0
"""computers for business""",Phrase match,AU_Generic_P-V_Electronics,Computers_Phrase,3592,139,813.58,2,5.85,406.79,3.87,1.44
"""bulk pet supplies""",Phrase match,AU_Generic_P-V_Shops,Bulk_Pet Shop_Phrase,1799,142,791.66,0,5.58,,7.89,0.0
"""suppliers companies""",Phrase match,AU_Generic,Suppliers_Enterprises_Phrase,1013,78,786.06,0,10.08,,7.7,0.0
"""buy bulk sweets""",Phrase match,AU_Generic_P-V_Food,Sweets_Bulk_Phrase,2005,220,775.98,4,3.53,194.0,10.97,1.82
"""makeup suppliers""",Phrase match,AU_Generic_P-V_Beauty,Makeup_Supplier_Phrase,1509,120,747.34,6,6.23,124.56,7.95,5.0
"""foods wholesalers""",Phrase match,AU_Generic_P-V_Food,Food_Wholesalers_Phrase,1781,159,740.15,2,4.66,370.08,8.93,1.26
"""bulk buy food""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,2154,262,729.32,5,2.78,145.86,12.16,1.91
"""wholesale electronic products""",Phrase match,AU_Generic_P-V_Electronics,Electronics_Wholesale_Phrase,1337,93,708.69,9,7.62,78.74,6.96,9.68
[amazon business account],Exact match,AU_Brand_Exact,Account_Exact,1848,605,698.86,85,1.16,8.22,32.74,14.05
[amazon business australia],Exact match,AU_Brand_Exact,Pure_Exact,1138,446,694.64,51,1.56,13.62,39.19,11.43
"""store fittings""",Phrase match,AU_Generic_P-V_Shops,Furniture_Phrase,1877,139,678.71,0,4.88,,7.41,0.0
"""bulk skin care products""",Phrase match,AU_Generic_P-V_Beauty,Skin-Care_Bulk_Phrase,1529,185,677.28,5,3.66,135.46,12.1,2.7
"""amazon business information""",Phrase match,AU_Brand_Phrase,Navigation_Phrase,1285,77,673.79,3,8.75,224.6,5.99,3.9
"""bottles wholesale""",Phrase match,AU_Generic_P-V_Food,Drinks_Wholesale_Phrase,1081,135,657.25,4,4.87,164.31,12.49,2.96
"""wholesale glassware""",Phrase match,AU_Generic_P-V_Food,Cultlery_Wholesale_Phrase,703,98,629.39,4,6.42,157.35,13.94,4.08
[business cards],Exact match,AU_Generic,Office Supplies_Exact,945,65,609.69,0,9.38,,6.88,0.0
"""bulk take out boxes""",Phrase match,AU_Generic_P-V_Food,Kitchen Tools_Bulk_Phrase,929,118,609.44,3,5.16,203.15,12.7,2.54
"""amazon business""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,806,79,600.58,3,7.6,200.19,9.8,3.8
"""wholesale goods""",Phrase match,AU_Generic,Wholesales_Products_Phrase,743,70,595.0,0,8.5,,9.42,0.0
"""drinks wholesale market""",Phrase match,AU_Generic_P-V_Food,Wholesales_Food_Phrase,724,101,586.44,4,5.81,146.61,13.95,3.96
"""bulk for shop""",Phrase match,AU_Generic_P-V_Shops,Bulk_Phrase,1579,107,581.97,0,5.44,,6.78,0.0
"""amazon business prime""",Phrase match,AU_Brand_Phrase,Prime_Phrase,605,49,561.33,2,11.46,280.67,8.1,4.08
"""bulk chocolate""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,1157,154,546.64,0,3.55,,13.31,0.0
"""office supplies""",Phrase match,AU_Generic_P-V_Office,Office_Phrase,2448,180,543.8,0,3.02,,7.35,0.0
"""bulk water bottles""",Phrase match,AU_Generic_P-V_Food,Drinks_Bulk_Phrase,846,126,536.46,7,4.26,76.64,14.89,5.56
"""office furniture""",Phrase match,AU_Generic_P-V_Office,Furniture_Phrase,1754,189,530.0,0,2.8,,10.78,0.0
"""cleaning buy""",Phrase match,AU_Generic_P-V_Janitorial,Purchasing_Phrase,2089,121,519.66,0,4.29,,5.79,0.0
"""hospitality equipment""",Phrase match,AU_Generic_P-V_Hospitality,Hospitality_Phrase,1411,124,518.55,0,4.18,,8.79,0.0
[how to create an amazon business account],Exact match,AU_Brand_Exact,Navigation_Exact,221,56,514.69,9,9.19,57.19,25.34,16.07
"""wholesale equipment""",Phrase match,AU_Generic,Wholesales_Products_Phrase,672,89,507.03,0,5.7,,13.24,0.0
"""wholesaler""",Phrase match,AU_Generic,Wholesalers_Phrase,574,42,503.76,0,11.99,,7.32,0.0
"""bulk buy easter eggs""",Phrase match,AU_Generic_P-V_Food,Sweets_Bulk_Phrase,681,83,494.58,4,5.96,123.65,12.19,4.82
"""commercial kitchen supplies""",Phrase match,AU_Generic_P-V_Food,Food_Suppliers_Phrase,979,109,486.19,0,4.46,,11.13,0.0
"""wholesale foodstuffs""",Phrase match,AU_Generic_P-V_Food,Wholesales_Food_Phrase,1304,109,476.21,0,4.37,,8.36,0.0
[amazon business au],Exact match,AU_Brand_Exact,Pure_Exact,300,54,476.04,2,8.82,238.02,18.0,3.7
"""hotel accessories""",Phrase match,AU_Generic_P-V_Hospitality,Products_Phrase,940,73,472.17,0,6.47,,7.77,0.0
"""cosmetics wholesaler""",Phrase match,AU_Generic_P-V_Beauty,Wholesalers_Cosmetics_Phrase,1164,92,469.59,2,5.1,234.8,7.9,2.17
"""office equipment""",Phrase match,AU_Generic_P-V_Office,Office_Phrase,1565,95,469.33,0,4.94,,6.07,0.0
"""wholesale foods""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,1032,114,466.98,3,4.1,155.66,11.05,2.63
"""business cards online""",Phrase match,AU_Generic_P-V_Office,Office-Supplies_Phrase,1350,76,460.25,0,6.06,,5.63,0.0
"""items for companies""",Phrase match,AU_Generic,Enterprises_Products_Phrase,703,66,458.1,0,6.94,,9.39,0.0
"""home office products""",Phrase match,AU_Generic_P-V_Office,Home-Office_Phrase,1243,95,441.49,0,4.65,,7.64,0.0
[how to set up a business amazon account],Exact match,AU_Brand_Exact,Navigation_Exact,176,38,441.41,4,11.62,110.35,21.59,10.53
"""wholesale items""",Phrase match,AU_Generic,Wholesales_Products_Phrase,377,49,439.88,0,8.98,,13.0,0.0
"""headwear distributors""",Phrase match,AU_Generic_P-V_Apparel,Accessories_Distributors_Phrase,675,80,435.06,0,5.44,,11.85,0.0
"""cleaning distributors""",Phrase match,AU_Generic_P-V_Janitorial,Distributors_Phrase,1119,72,417.03,0,5.79,,6.43,0.0
"""commercial smart tv""",Phrase match,AU_Generic_P-V_Electronics,Televisions_Phrase,1132,56,411.35,1,7.35,411.35,4.95,1.79
"""commercial take out containers""",Phrase match,AU_Generic_P-V_Food,Kitchen Tools_Phrase,1446,115,411.29,4,3.58,102.82,7.95,3.48
"""sportswear suppliers""",Phrase match,AU_Generic_P-V_Apparel,Sportware_Suppliers_Phrase,856,66,408.39,0,6.19,,7.71,0.0
"""bulk beverages""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,823,131,400.92,0,3.06,,15.92,0.0
"""bulk drinks""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,760,130,393.9,1,3.03,393.9,17.11,0.77
"""amazon au business""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,512,48,391.68,3,8.16,130.56,9.38,6.25
"""bulk buy sweets""",Phrase match,AU_Generic_P-V_Food,Sweets_Bulk_Phrase,761,100,385.63,1,3.86,385.63,13.14,1.0
"""au suppliers""",Phrase match,AU_Generic,Suppliers_Phrase,731,79,385.58,0,4.88,,10.81,0.0
"""jars wholesale""",Phrase match,AU_Generic_P-V_Food,Plates_Wholesale_Phrase,571,87,384.42,2,4.42,192.21,15.24,2.3
"""wholesale chocolate""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,361,50,383.17,0,7.66,,13.85,0.0
"""other suppliers""",Phrase match,AU_Generic_P-V_Apparel,Hosiery & Socks_Suppliers_Phrase,1178,77,378.96,0,4.92,,6.54,0.0
"""foodstuffs wholesale""",Phrase match,AU_Generic_P-V_Food,Wholesales_Food_Phrase,787,71,377.15,1,5.31,377.15,9.02,1.41
"""nail care products distributors""",Phrase match,AU_Generic_P-V_Beauty,Nail-Care_Distributors_Phrase,559,67,372.91,2,5.57,186.46,11.99,2.99
"""wholesale sportswear""",Phrase match,AU_Generic_P-V_Apparel,Sportware_Wholesales_Phrase,679,57,371.37,0,6.52,,8.39,0.0
"""suppliers products""",Phrase match,AU_Generic,Suppliers_Products_Phrase,646,53,370.54,0,6.99,,8.2,0.0
"""wholesale accessories""",Phrase match,AU_Generic_P-V_Shops,Accessories_Wholesale_Phrase,680,60,362.53,0,6.04,,8.82,0.0
[amazon business registration],Exact match,AU_Brand_Exact,Account_Exact,148,36,353.47,3,9.82,117.82,24.32,8.33
"""socks distributors""",Phrase match,AU_Generic_P-V_Apparel,Hosiery & Socks_Distributors_Phrase,465,61,346.91,0,5.69,,13.12,0.0
"""chocolate wholesalers""",Phrase match,AU_Generic_P-V_Food,Food_Wholesalers_Phrase,412,57,337.12,0,5.91,,13.83,0.0
"""bulk easter sweets""",Phrase match,AU_Generic_P-V_Food,Sweets_Bulk_Phrase,535,77,335.15,0,4.35,,14.39,0.0
"""drinks wholesalers""",Phrase match,AU_Generic_P-V_Food,Food_Wholesalers_Phrase,420,61,334.82,0,5.49,,14.52,0.0
"""equipment hospitality""",Phrase match,AU_Generic_P-V_Hospitality,Hospitality_Phrase,1032,86,330.53,0,3.84,,8.33,0.0
"""hats wholesale""",Phrase match,AU_Generic_P-V_Apparel,Outerwear_Wholesales_Phrase,602,53,328.66,0,6.2,,8.8,0.0
"""wholesale soft drinks""",Phrase match,AU_Generic_P-V_Food,Drinks_Wholesale_Phrase,459,57,327.43,2,5.74,163.72,12.42,3.51
"""tote bags distributors""",Phrase match,AU_Generic_P-V_Apparel,Accessories_Distributors_Phrase,452,52,324.53,0,6.24,,11.5,0.0
"""office filing system""",Phrase match,AU_Generic_P-V_Office,Office_Phrase,926,53,323.97,0,6.11,,5.72,0.0
"""business cards business""",Phrase match,AU_Generic_P-V_Office,Office-Supplies_Phrase,944,53,319.47,0,6.03,,5.61,0.0
"""accessories for companies""",Phrase match,AU_Generic,Enterprises_Phrase,459,46,319.16,0,6.94,,10.02,0.0
[business prime],Exact match,AU_Brand_Exact,Prime_Exact,300,78,315.56,3,4.05,105.19,26.0,3.85
"""tissue paper distributor""",Phrase match,AU_Generic_P-V_Janitorial,Paper_Distributor_Phrase,546,52,308.99,0,5.94,,9.52,0.0
"""wholesale drinks""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,324,50,307.16,0,6.14,,15.43,0.0
"""amazon business delivery""",Phrase match,AU_Brand_Phrase,Navigation_Phrase,300,32,306.85,2,9.59,153.43,10.67,6.25
"""b2b products""",Phrase match,AU_Generic,B2B_Products_Phrase,464,30,306.35,0,10.21,,6.47,0.0
"""beverages wholesale""",Phrase match,AU_Generic_P-V_Food,Wholesales_Food_Phrase,251,44,305.93,0,6.95,,17.53,0.0
[amazon business prime cost],Exact match,AU_Brand_Exact,Prime_Exact,118,23,303.89,0,13.21,,19.49,0.0
"""buy commercial equipment""",Phrase match,AU_Generic,Commercial Customers_Products_Phrase,751,50,301.87,0,6.04,,6.66,0.0
"""bulk party""",Phrase match,AU_Generic_P-V_Celebrations,Party_Bulk_Phrase,553,51,300.77,3,5.9,100.26,9.22,5.88
[amazon business account au],Exact match,AU_Brand_Exact,Account_Exact,172,69,297.49,10,4.31,29.75,40.12,14.49
"""wholesalers toys""",Phrase match,AU_Generic_P-V_Shops,Toys Shop_Wholesale_Phrase,597,59,294.72,0,5.0,,9.88,0.0
[bulk suppliers],Exact match,AU_Generic,Bulk_Suppliers_Exact,305,30,294.64,0,9.82,,9.84,0.0
"""items companies""",Phrase match,AU_Generic,Enterprises_Products_Phrase,429,30,293.93,0,9.8,,6.99,0.0
"""companies business""",Phrase match,AU_Generic,Enterprises_Shop_Phrase,510,35,283.21,0,8.09,,6.86,0.0
"""online shop for companies""",Phrase match,AU_Generic,Enterprises_Shop_Phrase,665,41,282.0,0,6.88,,6.17,0.0
"""bulk bath products""",Phrase match,AU_Generic_P-V_Beauty,Skin-Care_Bulk_Phrase,385,57,281.38,1,4.94,281.38,14.81,1.75
"""hats bulk""",Phrase match,AU_Generic_P-V_Apparel,Outerwear_Bulk_Phrase,527,50,279.0,0,5.58,,9.49,0.0
"""bulk for store""",Phrase match,AU_Generic_P-V_Shops,Generic_Bulk_Phrase,928,54,278.19,0,5.15,,5.82,0.0
"""t-shirts distributors""",Phrase match,AU_Generic_P-V_Apparel,Tops_Distributors_Phrase,403,56,277.73,0,4.96,,13.9,0.0
"""bulk paper products""",Phrase match,AU_Generic_P-V_Janitorial,Paper_Bulk_Phrase,553,39,270.55,0,6.94,,7.05,0.0
"""bulk cleaning supplies""",Phrase match,AU_Generic_P-V_Janitorial,Supply_Bulk_Phrase,860,48,270.51,0,5.64,,5.58,0.0
"""hospitality supplies""",Phrase match,AU_Generic_P-V_Hospitality,Hospitality_Phrase,687,51,266.77,0,5.23,,7.42,0.0
"""bulk herbs""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,514,58,266.68,1,4.6,266.68,11.28,1.72
"""bulk shampoo""",Phrase match,AU_Generic_P-V_Beauty,Hair-Styling_Bulk_Phrase,499,63,265.88,0,4.22,,12.63,0.0
"""wholesale toilet paper""",Phrase match,AU_Generic_P-V_Janitorial,Paper_Wholesale_Phrase,317,37,265.87,0,7.19,,11.67,0.0
"""wholesale cooking ingredients""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,512,68,264.41,0,3.89,,13.28,0.0
"""business cards vendor""",Phrase match,AU_Generic,Office Supplies_Phrase,502,41,262.14,0,6.39,,8.17,0.0
"""commercial tv screens""",Phrase match,AU_Generic_P-V_Electronics,Televisions_Phrase,585,54,261.6,1,4.84,261.6,9.23,1.85
"""wholesale fabrics""",Phrase match,AU_Generic_P-V_Materials,Wholesales_Textiles_Phrase,567,49,259.45,0,5.29,,8.64,0.0
"""professional vacuums""",Phrase match,AU_Generic_P-V_Janitorial,Floor-Care_Phrase,720,55,258.14,0,4.69,,7.64,0.0
"""laptops for business""",Phrase match,AU_Generic_P-V_Electronics,Computers_Phrase,1240,57,255.56,0,4.48,,4.6,0.0
[amazon business benefits],Exact match,AU_Brand_Exact,Account_Exact,144,23,254.7,2,11.07,127.35,15.97,8.7
"""bakery box suppliers""",Phrase match,AU_Generic_P-V_Food,Kitchen Tools_Suppliers_Phrase,135,22,254.27,1,11.56,254.27,16.3,4.55
"""computers distributor""",Phrase match,AU_Generic_P-V_Electronics,Computers_Distributor_Phrase,511,38,248.26,3,6.53,82.75,7.44,7.89
"""bulk canned food""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,441,46,247.98,2,5.39,123.99,10.43,4.35
[amazon business account vs personal],Exact match,AU_Brand_Exact,Account_Exact,164,14,246.54,0,17.61,,8.54,0.0
"""toilet tissue distributor""",Phrase match,AU_Generic_P-V_Janitorial,Paper_Distributor_Phrase,278,24,241.11,0,10.05,,8.63,0.0
"""home office essentials""",Phrase match,AU_Generic_P-V_Office,Home-Office_Phrase,617,46,240.48,0,5.23,,7.46,0.0
"""professional floor mats""",Phrase match,AU_Generic_P-V_Janitorial,Floor-Care_Phrase,646,42,240.32,0,5.72,,6.5,0.0
[amazon business information],Exact match,AU_Brand_Exact,Navigation_Exact,176,23,236.84,1,10.3,236.84,13.07,4.35
"""office products""",Phrase match,AU_Generic_P-V_Office,Office_Phrase,576,38,234.63,0,6.17,,6.6,0.0
"""bulk fresh foods""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,468,37,231.44,1,6.26,231.44,7.91,2.7
"""bulk biscuits""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,366,42,231.23,2,5.51,115.62,11.48,4.76
"""purchasing large quantities""",Phrase match,AU_Generic,Bulk_Buy_Phrase,264,31,231.1,0,7.45,,11.74,0.0
"""amazon business registration""",Phrase match,AU_Brand_Phrase,Account_ Phrase,121,19,230.21,0,12.12,,15.7,0.0
"""air fresheners distributor""",Phrase match,AU_Generic_P-V_Janitorial,Odour_Distributor_Phrase,285,40,227.63,0,5.69,,14.04,0.0
"""equipment for companies""",Phrase match,AU_Generic,Enterprises_Products_Phrase,422,24,226.55,0,9.44,,5.69,0.0
"""false eyelashes suppliers""",Phrase match,AU_Generic_P-V_Beauty,Makeup_Supplier_Phrase,278,36,224.99,2,6.25,112.5,12.95,5.56
[amazon business cost],Exact match,AU_Brand_Exact,Pure_Exact,78,17,222.46,2,13.09,111.23,21.79,11.76
"""electronics bulk""",Phrase match,AU_Generic_P-V_Shops,Electronics_Bulk_Phrase,504,39,221.82,0,5.69,,7.74,0.0
"""hair wholesale""",Phrase match,AU_Generic_P-V_Beauty,Hair-Appliances_Wholesale_Phrase,506,49,219.62,1,4.48,219.62,9.68,2.04
"""office electronics""",Phrase match,AU_Generic_P-V_Office,Office_Phrase,673,51,219.37,0,4.3,,7.58,0.0
"""commercial trays""",Phrase match,AU_Generic_P-V_Food,Plates_Phrase,646,46,219.21,0,4.77,,7.12,0.0
"""laundry supplies""",Phrase match,AU_Generic_P-V_Janitorial,Industrial-Chemicals_Phrase,528,47,218.57,0,4.65,,8.9,0.0
"""bulk wipes""",Phrase match,AU_Generic_P-V_Janitorial,Tools_Bulk_Phrase,555,34,217.31,0,6.39,,6.13,0.0
"""home office supplies""",Phrase match,AU_Generic_P-V_Office,Home-Office_Phrase,756,61,216.71,0,3.55,,8.07,0.0
[amazon business account cost],Exact match,AU_Brand_Exact,Account_Exact,98,20,216.63,1,10.83,216.63,20.41,5.0
"""bulk detergent""",Phrase match,AU_Generic_P-V_Janitorial,Detergent_Bulk_Phrase,613,44,215.63,0,4.9,,7.18,0.0
"""order stationery""",Phrase match,AU_Generic_P-V_Office,Stationery_Phrase,1056,60,215.12,0,3.59,,5.68,0.0
"""bulk foods""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,743,90,212.97,0,2.37,,12.11,0.0
"""apparel suppliers""",Phrase match,AU_Generic_P-V_Shops,Suppliers_Clothing_Phrase,477,33,212.79,0,6.45,,6.92,0.0
"""suppliers toys""",Phrase match,AU_Generic_P-V_Shops,Toys Shop_Suppliers_Phrase,155,20,212.35,0,10.62,,12.9,0.0
[amazon business account australia],Exact match,AU_Brand_Exact,Account_Exact,222,65,211.67,10,3.26,21.17,29.28,15.38
"""bulk seasoning""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,639,50,208.08,4,4.16,52.02,7.82,8.0
"""drinks wholesaler""",Phrase match,AU_Generic_P-V_Food,Wholesalers_Food_Phrase,322,37,205.94,1,5.57,205.94,11.49,2.7
"""detergent distributor""",Phrase match,AU_Generic_P-V_Janitorial,Detergent_Distributor_Phrase,449,38,203.14,0,5.35,,8.46,0.0
"""shoes distributors""",Phrase match,AU_Generic_P-V_Apparel,Shoes_Distributors_Phrase,309,39,201.5,0,5.17,,12.62,0.0
"""bulk fruit juice""",Phrase match,AU_Generic_P-V_Food,Drinks_Bulk_Phrase,266,24,198.19,0,8.26,,9.02,0.0
"""bulk nail accessories""",Phrase match,AU_Generic_P-V_Beauty,Nail-Care_Bulk_Phrase,395,45,192.02,0,4.27,,11.39,0.0
[laptops for business],Exact match,AU_Generic_P-V_Electronics,Computers_Exact,808,32,191.61,1,5.99,191.61,3.96,3.13
"""bulk seeds""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,266,32,189.47,0,5.92,,12.03,0.0
"""bulk disposable tableware""",Phrase match,AU_Generic_P-V_Food,Cultlery_Bulk_Phrase,543,61,188.53,0,3.09,,11.23,0.0
"""bulk baby accessories""",Phrase match,AU_Generic_P-V_Apparel,Accessories Baby_Bulk_Phrase,306,52,186.84,0,3.59,,16.99,0.0
"""hoodies distributors""",Phrase match,AU_Generic_P-V_Apparel,Tops_Distributors_Phrase,223,35,183.69,0,5.25,,15.7,0.0
"""amazon business cost""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,76,15,183.43,0,12.23,,19.74,0.0
"""buy bulk online""",Phrase match,AU_Generic,Bulk_Buy_Phrase,235,35,182.8,0,5.22,,14.89,0.0
"""suppliers purchases""",Phrase match,AU_Generic,Suppliers_Products_Phrase,188,23,182.67,0,7.94,,12.23,0.0
"""b2b distribution""",Phrase match,AU_Generic,B2B_Enterprise_Phrase,118,13,181.17,0,13.94,,11.02,0.0
[company items],Exact match,AU_Generic,Enterprises_Products_Exact,211,23,180.6,0,7.85,,10.9,0.0
"""distributor supply""",Phrase match,AU_Generic,Procurement_Distributors_Phrase,135,12,180.41,0,15.03,,8.89,0.0
"""storage wholesale""",Phrase match,AU_Generic_P-V_Crafts,Professional-Tools_Wholesale_Phrase,215,32,178.35,0,5.57,,14.88,0.0
"""purchasing for companies""",Phrase match,AU_Generic,Purchasing_Enterprises_Phrase,289,18,177.25,0,9.85,,6.23,0.0
[buy bulk],Exact match,AU_Generic,Bulk_Buy_Exact,230,24,176.3,0,7.35,,10.43,0.0
"""beautician wholesaler""",Phrase match,AU_Generic_P-V_Beauty,Wholesalers_Cosmetics_Phrase,451,41,171.68,0,4.19,,9.09,0.0
[business prime account cost],Exact match,AU_Brand_Exact,Prime_Exact,86,16,169.59,2,10.6,84.8,18.6,12.5
"""bulk oils""",Phrase match,AU_Generic_P-V_Food,Condiments_Bulk_Phrase,367,42,168.1,1,4.0,168.1,11.44,2.38
"""distributor industry""",Phrase match,AU_Generic,Distributors_Enterprises_Phrase,182,14,167.44,0,11.96,,7.69,0.0
"""bulk spray bottles""",Phrase match,AU_Generic_P-V_Janitorial,Tools_Bulk_Phrase,270,31,166.92,0,5.38,,11.48,0.0
"""socks suppliers""",Phrase match,AU_Generic_P-V_Apparel,Hosiery & Socks_Suppliers_Phrase,246,27,166.64,0,6.17,,10.98,0.0
"""bulk soap""",Phrase match,AU_Generic_P-V_Janitorial,Soap_Bulk_Phrase,491,33,164.6,0,4.99,,6.72,0.0
[professional vacuums],Exact match,AU_Generic_P-V_Janitorial,Floor-Care_Exact,433,27,164.14,0,6.08,,6.24,0.0
[amazon business account benefits],Exact match,AU_Brand_Exact,Account_Exact,106,20,162.5,1,8.13,162.5,18.87,5.0
"""glassware wholesalers""",Phrase match,AU_Generic_P-V_Food,Cultlery_Wholesalers_Phrase,191,29,161.66,2,5.57,80.83,15.18,6.9
"""bulk trays""",Phrase match,AU_Generic_P-V_Food,Plates_Bulk_Phrase,278,26,160.62,1,6.18,160.62,9.35,3.85
