Search Term,Keyword,Match Type,Campaign,Ad Group,Impressions,Clicks,Cost,CPC,Keyword Regs,Keyword CPA,Keyword Status
business prime,[business prime],Exact match,AU_Brand_Exact,Prime_Exact,115,25,66.97,2.68,3,105.19,Converting KW
commercial vacuum cleaner,[professional vacuums],Exact match (close variant),AU_Generic_P-V_Janitorial,Floor-Care_Exact,124,11,63.38,5.76,0,,Zero-Reg KW
amazon wholesale australia,"""amazon business au""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,44,15,62.11,4.14,3,370.2,Converting KW
bulk canned food,[bulk canned food],Exact match,AU_Generic_P-V_Food,Food_Bulk_Exact,39,10,60.45,6.05,0,,Zero-Reg KW
desk organiser,"""desk equipment""",Phrase match (close variant),AU_Generic_P-V_Office,Products_Phrase,218,13,60.42,4.65,0,,Zero-Reg KW
is amazon business worth it,[amazon business account review],Exact match (close variant),AU_Brand_Exact,Account_Exact,62,3,57.99,19.33,0,,Zero-Reg KW
office chairs,"""office furniture""",Phrase match (close variant),AU_Generic_P-V_Office,Furniture_Phrase,167,21,57.95,2.76,0,,Zero-Reg KW
dropshipping suppliers,"""other suppliers""",Phrase match (close variant),AU_Generic_P-V_Apparel,Hosiery & Socks_Suppliers_Phrase,98,11,57.49,5.23,0,,Zero-Reg KW
what is an amazon business account,[amazon business],Exact match (close variant),AU_Brand_Exact,Pure_Exact,27,7,57.4,8.2,220,12.37,Converting KW
is amazon business free,[amazon business free],Exact match (close variant),AU_Brand_Exact,Account_Exact,39,4,57.12,14.28,0,,Zero-Reg KW
amazon australia business account,[amazon business account au],Exact match (close variant),AU_Brand_Exact,Account_Exact,22,13,56.02,4.31,10,29.75,Converting KW
bulk buying,[buy bulk],Exact match (close variant),AU_Generic,Bulk_Buy_Exact,18,5,53.4,10.68,0,,Zero-Reg KW
amazon corporate services,"""amazon for business""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,10,3,52.01,17.34,15,116.42,Converting KW
amazon business promo,"""amazon business account""",Phrase match (close variant),AU_Brand_Phrase,Account_ Phrase,14,4,51.56,12.89,8,275.85,Converting KW
wholesale food,[wholesale meals],Exact match (close variant),AU_Generic_P-V_Food,Food_Wholesale_Exact,45,6,51.21,8.54,0,,Zero-Reg KW
merch by amazon australia,"""amazon au business""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,15,4,50.26,12.57,3,130.56,Converting KW
wholesale nail supplies australia,"""nail care products distributors""",Phrase match (close variant),AU_Generic_P-V_Beauty,Nail-Care_Distributors_Phrase,53,9,48.44,5.38,2,186.46,Converting KW
office furniture,[office furniture],Exact match,AU_Generic_P-V_Office,Furniture_Exact,193,11,48.37,4.4,0,,Zero-Reg KW
business card print,[business cards],Exact match (close variant),AU_Generic,Office Supplies_Exact,25,5,48.07,9.61,0,,Zero-Reg KW
bulk easter eggs australia,"""bulk buy easter eggs""",Phrase match (close variant),AU_Generic_P-V_Food,Sweets_Bulk_Phrase,48,8,47.83,5.98,4,123.65,Converting KW
industrial vacuum cleaners,[professional vacuums],Exact match (close variant),AU_Generic_P-V_Janitorial,Floor-Care_Exact,74,7,46.96,6.71,0,,Zero-Reg KW
solubrilho australia,"""cleaning products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Products_Phrase,71,10,46.63,4.66,0,,Zero-Reg KW
bulk suppliers australia,"""bulk distributor""",Phrase match (close variant),AU_Generic,Bulk_Distributors_Phrase,9,4,46.49,11.62,0,,Zero-Reg KW
merkandi australia,"""bulk distributor""",Phrase match (close variant),AU_Generic,Bulk_Distributors_Phrase,25,7,46.37,6.62,0,,Zero-Reg KW
amazon business discount,"""amazon company account""",Phrase match (close variant),AU_Brand_Phrase,Account_ Phrase,14,3,45.95,15.32,9,122.11,Converting KW
cheap bulk buys australia,"""bulk distributor""",Phrase match (close variant),AU_Generic,Bulk_Distributors_Phrase,21,6,44.89,7.48,0,,Zero-Reg KW
alibaba wholesale,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,18,4,44.6,11.15,0,,Zero-Reg KW
amazon online business,"""amazon business account""",Exact match (close variant),AU_Brand_Phrase,Account_ Phrase,7,3,44.58,14.86,8,275.85,Converting KW
takeaway containers,[commercial take out containers],Exact match (close variant),AU_Generic_P-V_Food,Kitchen Tools_Exact,111,13,42.94,3.3,0,,Zero-Reg KW
amazon prime business,[amazon prime business],Exact match,AU_Brand_Exact,Prime_Exact,86,36,42.87,1.19,4,26.07,Converting KW
amazon business discount,"""amazon business cost""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,11,4,42.65,10.66,0,,Zero-Reg KW
desk accessories,[office accessories],Exact match (close variant),AU_Generic_P-V_Office,Office_Exact,160,10,42.51,4.25,0,,Zero-Reg KW
what is amazon business,[business amazon],Exact match (close variant),AU_Brand_Exact,Pure_Exact,14,2,42.36,21.18,2,77.72,Converting KW
dnd gel polish wholesale australia,"""bulk nail polish""",Phrase match (close variant),AU_Generic_P-V_Beauty,Nail-Care_Bulk_Phrase,11,6,41.95,6.99,1,142.88,Converting KW
bulk easter eggs,[easter egg bulk buy],Exact match (close variant),AU_Generic_P-V_Food,Sweets_Bulk_Exact,95,9,41.88,4.65,0,,Zero-Reg KW
bulk buy,[buy bulk],Exact match (close variant),AU_Generic,Bulk_Buy_Exact,76,6,41.68,6.95,0,,Zero-Reg KW
amazon wholesale,"""amazon for business""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,31,8,40.66,5.08,15,116.42,Converting KW
amazon business us,"""amazon business account""",Phrase match (close variant),AU_Brand_Phrase,Account_ Phrase,2,2,39.3,19.65,8,275.85,Converting KW
amazon business account benefits,[amazon business account benefits],Exact match,AU_Brand_Exact,Account_Exact,27,5,39.19,7.84,1,162.5,Converting KW
selling with amazon australia,[amazon business au],Exact match (close variant),AU_Brand_Exact,Pure_Exact,2,2,38.6,19.3,2,238.02,Converting KW
amazon business account vs personal,[amazon business account vs personal],Exact match,AU_Brand_Exact,Account_Exact,26,3,38.52,12.84,0,,Zero-Reg KW
does amazon business cost money,[amazon business cost],Exact match (close variant),AU_Brand_Exact,Pure_Exact,7,2,38.5,19.25,2,111.23,Converting KW
floor cleaner,"""cleaning products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Products_Phrase,34,8,38.0,4.75,0,,Zero-Reg KW
what are the benefits of amazon business,[amazon business benefits],Exact match (close variant),AU_Brand_Exact,Account_Exact,10,2,37.77,18.89,2,127.35,Converting KW
dropshipping suppliers,"""distributor companies""",Phrase match (close variant),AU_Generic,Distributors_Enterprises_Phrase,22,5,37.76,7.55,0,,Zero-Reg KW
dog grooming supplies wholesale australia,"""bulk pet supplies""",Phrase match (close variant),AU_Generic_P-V_Shops,Bulk_Pet Shop_Phrase,15,6,37.68,6.28,0,,Zero-Reg KW
bulk cleaning supplies,[bulk cleaning supplies],Exact match,AU_Generic_P-V_Janitorial,Supply_Bulk_Exact,119,11,37.24,3.39,0,,Zero-Reg KW
bulk shampoo and conditioner,"""bulk shampoo""",Phrase match,AU_Generic_P-V_Beauty,Hair-Styling_Bulk_Phrase,59,9,37.16,4.13,0,,Zero-Reg KW
what is amazon business account,[amazon business],Exact match (close variant),AU_Brand_Exact,Pure_Exact,62,4,37.05,9.26,220,12.37,Converting KW
bulk paper plates,"""bulk paper products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk,40,6,36.76,6.13,0,,Zero-Reg KW
bulk paper plates,"""bulk paper products""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk,40,6,36.76,6.13,0,,Zero-Reg KW
dropshipping suppliers,"""suppliers purchases""",Phrase match (close variant),AU_Generic,Suppliers_Products_Phrase,13,3,36.65,12.22,0,,Zero-Reg KW
cheap bulk groceries online australia,"""bulk buy food""",Phrase match (close variant),AU_Generic_P-V_Food,Food_Bulk_Phrase,86,12,36.57,3.05,5,145.86,Converting KW
filing cabinets,"""office filing system""",Phrase match (close variant),AU_Generic_P-V_Office,Office_Phrase,78,6,36.52,6.09,0,,Zero-Reg KW
how does amazon business work,[amazon business information],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,18,3,36.41,12.14,1,236.84,Converting KW
best place to buy bulk food online australia,"""buy bulk""",Phrase match,AU_Generic,Bulk_Buy_Phrase,34,6,36.39,6.07,0,,Zero-Reg KW
amazon b2b,"""amazon company account""",Phrase match (close variant),AU_Brand_Phrase,Account_ Phrase,8,3,36.25,12.08,9,122.11,Converting KW
amazon business prime australia,[au amazon business prime],Exact match (close variant),AU_Brand_Exact,Prime_Exact,4,2,35.74,17.87,0,,Zero-Reg KW
salon towels,"""professional beauty products""",Phrase match (close variant),AU_Generic_P-V_Beauty,Products_Cosmetics_Phrase,67,6,35.72,5.95,16,115.92,Converting KW
cheap bulk chocolate australia,"""bulk chocolate""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,60,12,35.71,2.98,0,,Zero-Reg KW
toilet paper bulk,"""toilet tissue distributor""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Paper_Distributor_Phrase,20,3,35.63,11.88,0,,Zero-Reg KW
amazon corporate services pty ltd,"""business amazon""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,23,3,35.62,11.87,23,111.21,Converting KW
https payeecentral amazon com,"""amazon company account""",Phrase match (close variant),AU_Brand_Phrase,Account_ Phrase,2,2,35.58,17.79,9,122.11,Converting KW
how to get your business on amazon,[setup amazon business account],Exact match (close variant),AU_Brand_Exact,Account_Exact,3,2,35.46,17.73,3,49.14,Converting KW
wholesalers,[wholesaler],Exact match (close variant),AU_Generic,Wholesalers_Exact,33,4,35.32,8.83,0,,Zero-Reg KW
wholesale packaging supplies sydney,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,4,2,35.26,17.63,0,,Zero-Reg KW
bulk dog food,"""bulk pet supplies""",Phrase match (close variant),AU_Generic_P-V_Shops,Bulk_Pet Shop_Phrase,81,6,35.12,5.85,0,,Zero-Reg KW
dropshipping suppliers,"""wholesaler""",Phrase match (close variant),AU_Generic,Wholesalers_Phrase,10,2,34.96,17.48,0,,Zero-Reg KW
amazon business 25 off first order,"""amazon prime business""",Phrase match (close variant),AU_Brand_Phrase,Prime_Phrase,4,2,34.71,17.36,4,207.26,Converting KW
how to start amazon business,[how to create an amazon business account],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,5,2,34.62,17.31,9,57.19,Converting KW
amazon business account cost,[amazon business account cost],Exact match,AU_Brand_Exact,Account_Exact,16,5,34.33,6.87,1,216.63,Converting KW
company merch,[company items],Exact match (close variant),AU_Generic,Enterprises_Products_Exact,7,3,33.96,11.32,0,,Zero-Reg KW
plastic takeaway containers bulk,"""bulk take out boxes""",Phrase match (close variant),AU_Generic_P-V_Food,Kitchen Tools_Bulk_Phrase,21,5,33.89,6.78,3,203.15,Converting KW
bulk drinks,[bulk drinks],Exact match,AU_Generic_P-V_Food,Food_Bulk_Exact,57,9,33.87,3.76,1,99.7,Converting KW
cake boxes wholesale australia,"""bakery box suppliers""",Phrase match (close variant),AU_Generic_P-V_Food,Kitchen Tools_Suppliers_Phrase,7,2,33.67,16.84,1,254.27,Converting KW
amazon's business solutions agreement,"""amazon for business""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,4,2,33.67,16.84,15,116.42,Converting KW
free dropshipping suppliers australia,"""suppliers companies""",Phrase match (close variant),AU_Generic,Suppliers_Enterprises_Phrase,4,4,33.64,8.41,0,,Zero-Reg KW
amazon fba wholesale distributors,"""b2b distribution""",Phrase match (close variant),AU_Generic,B2B_Enterprise_Phrase,1,2,33.3,16.65,0,,Zero-Reg KW
amazon business us,[amazon business],Exact match (close variant),AU_Brand_Exact,Pure_Exact,24,2,33.03,16.52,220,12.37,Converting KW
start up bakery equipment,"""products start-ups""",Phrase match (close variant),AU_Generic,Enterprises_Products_Phrase,1,2,32.8,16.4,0,,Zero-Reg KW
amazon business benefits,[amazon business benefits],Exact match,AU_Brand_Exact,Account_Exact,36,5,32.79,6.56,2,127.35,Converting KW
amazon business services agreement,"""amazon business account""",Phrase match (close variant),AU_Brand_Phrase,Account_ Phrase,4,2,32.76,16.38,8,275.85,Converting KW
dropshipping suppliers australia,"""suppliers purchases""",Phrase match (close variant),AU_Generic,Suppliers_Products_Phrase,9,4,32.3,8.07,0,,Zero-Reg KW
wholesale books,[order books in bulk],Exact match (close variant),AU_Generic_P-V_Shops,Book Shop_Bulk_Exact,34,8,32.21,4.03,0,,Zero-Reg KW
amazon business prime australia,[business prime au],Exact match (close variant),AU_Brand_Exact,Prime_Exact,24,7,32.16,4.59,1,32.17,Converting KW
cleaning products,[cleaning products],Exact match,AU_Generic_P-V_Janitorial,Products_Exact,165,7,32.11,4.59,0,,Zero-Reg KW
desk mat,"""home office supplies""",Phrase match (close variant),AU_Generic_P-V_Office,Home-Office_Phrase,113,8,32.02,4.0,0,,Zero-Reg KW
amazon business for sale,"""amazon for business""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,14,3,32.01,10.67,15,116.42,Converting KW
cleaning products bulk,[bulk cleaning],Exact match (close variant),AU_Generic_P-V_Janitorial,Products_Bulk_Exact,10,4,31.99,8.0,0,,Zero-Reg KW
how to open amazon business account,[amazon business open account],Exact match (close variant),AU_Brand_Exact,Account_Exact,5,2,31.75,15.88,2,30.64,Converting KW
promotional merchandise,[company items],Exact match (close variant),AU_Generic,Enterprises_Products_Exact,16,4,31.7,7.93,0,,Zero-Reg KW
amazon australia business account,[amazon business au],Exact match (close variant),AU_Brand_Exact,Pure_Exact,13,7,31.61,4.52,2,238.02,Converting KW
amazon business credit account,"""amazon business account""",Phrase match,AU_Brand_Phrase,Account_ Phrase,4,2,31.52,15.76,8,275.85,Converting KW
best dropshipping suppliers australia,"""suppliers companies""",Phrase match (close variant),AU_Generic,Suppliers_Enterprises_Phrase,23,3,31.35,10.45,0,,Zero-Reg KW
amazon wholesale australia,"""amazon au business""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,18,6,31.31,5.22,3,130.56,Converting KW
amazon business shirts,"""amazon for business""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,8,2,31.26,15.63,15,116.42,Converting KW
amazon business account requirements,[how to set up a business amazon account],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,4,2,31.23,15.62,4,110.35,Converting KW
wholesale sublimation blanks australia,"""wholesale merchandise""",Phrase match (close variant),AU_Generic,Wholesales_Products_Phrase,2,3,31.17,10.39,0,,Zero-Reg KW
under desk cable management,"""desk equipment""",Phrase match (close variant),AU_Generic_P-V_Office,Products_Phrase,45,6,31.06,5.18,0,,Zero-Reg KW
wholesalers,[wholesale suppliers],Exact match (close variant),AU_Generic,Wholesales_Suppliers_Exact,9,3,30.87,10.29,0,,Zero-Reg KW
business cards online,[business cards],Exact match (close variant),AU_Generic,Office Supplies_Exact,29,3,30.86,10.29,0,,Zero-Reg KW
bulk clothing,[clothing bulk],Exact match (close variant),AU_Generic_P-V_Shops,Clothing_Bulk_Exact,20,5,30.45,6.09,0,,Zero-Reg KW
party supplies,[party suppliers],Exact match (close variant),AU_Generic_P-V_Celebrations,Party_Suppliers_Exact,59,3,30.37,10.12,1,30.37,Converting KW
salon basins for sale,"""professional beauty products""",Phrase match (close variant),AU_Generic_P-V_Beauty,Products_Cosmetics_Phrase,10,6,30.24,5.04,16,115.92,Converting KW
wholesale book suppliers australia,"""wholesaler au""",Phrase match (close variant),AU_Generic,Wholesalers_Phrase,6,3,29.71,9.9,0,,Zero-Reg KW
amazon b2b,"""amazon business portal""",Phrase match (close variant),AU_Brand_Phrase,Navigation_Phrase,15,5,29.61,5.92,9,124.87,Converting KW
amazon business for sale australia,"""amazon for business""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,9,3,29.49,9.83,15,116.42,Converting KW
warehouse supplies,"""equipment for companies""",Phrase match (close variant),AU_Generic,Enterprises_Products_Phrase,9,2,29.33,14.67,0,,Zero-Reg KW
amazon business 20,"""amazon business account""",Phrase match (close variant),AU_Brand_Phrase,Account_ Phrase,11,3,29.29,9.76,8,275.85,Converting KW
create amazon business account,[create amazon business account],Exact match,AU_Brand_Exact,Account_Exact,36,17,29.29,1.72,4,22.47,Converting KW
filing cabinet officeworks,"""office filing system""",Phrase match (close variant),AU_Generic_P-V_Office,Office_Phrase,52,5,29.05,5.81,0,,Zero-Reg KW
what does an amazon business account cost,[business prime account cost],Exact match (close variant),AU_Brand_Exact,Prime_Exact,2,2,28.94,14.47,2,84.8,Converting KW
amazon us business,[amazon business],Exact match (close variant),AU_Brand_Exact,Pure_Exact,6,2,28.92,14.46,220,12.37,Converting KW
amazon prime dual membership,[business prime duo],Exact match (close variant),AU_Brand_Exact,Prime_Exact,4,2,28.89,14.45,1,143.72,Converting KW
merch by amazon australia,"""amazon business au""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,17,2,28.88,14.44,3,370.2,Converting KW
how to list your product on amazon,"""business amazon""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,6,3,28.82,9.61,23,111.21,Converting KW
benefits of amazon business,[amazon business account benefits],Exact match (close variant),AU_Brand_Exact,Account_Exact,12,3,28.79,9.6,1,162.5,Converting KW
korean skincare wholesale,"""cosmetics wholesaler""",Phrase match (close variant),AU_Generic_P-V_Beauty,Wholesalers_Cosmetics_Phrase,14,5,28.77,5.75,2,234.8,Converting KW
activewear manufacturer australia,"""wholesale sportswear""",Phrase match (close variant),AU_Generic_P-V_Apparel,Sportware_Wholesales_Phrase,15,4,28.57,7.14,0,,Zero-Reg KW
bulk paper towel,[bulk paper towels],Exact match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,50,4,28.5,7.13,0,,Zero-Reg KW
bulk paper towel,[bulk paper towels],Exact match (close variant),AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,50,4,28.5,7.13,0,,Zero-Reg KW
bulk drink bottles,[water bottles wholesale],Exact match (close variant),AU_Generic_P-V_Food,Drinks_Bulk_Exact,20,5,28.49,5.7,0,,Zero-Reg KW
business with amazon,[amazon business],Exact match (close variant),AU_Brand_Exact,Pure_Exact,5,2,28.36,14.18,220,12.37,Converting KW
amazon business in australia,[amazon business au],Exact match (close variant),AU_Brand_Exact,Pure_Exact,7,2,28.31,14.16,2,238.02,Converting KW
cosmetic jars wholesale australia,"""jars bulk""",Phrase match (close variant),AU_Generic_P-V_Food,Plates_Bulk_Phrase,12,7,28.16,4.02,8,131.38,Converting KW
bulk laundry detergent,[bulk detergent],Exact match (close variant),AU_Generic_P-V_Janitorial,Detergent_Bulk_Exact,46,6,27.93,4.66,0,,Zero-Reg KW
business sales,"""companies business""",Phrase match (close variant),AU_Generic,Enterprises_Shop_Phrase,41,3,27.84,9.28,0,,Zero-Reg KW
bulk martini glasses,[bulk martini glasses],Exact match,AU_Generic_P-V_Food,Glassware_Bulk_Exact,2,2,27.75,13.88,0,,Zero-Reg KW
cheapest toilet rolls wholesale,"""wholesale toilet paper""",Phrase match (close variant),AU_Generic_P-V_Janitorial,Paper_Wholesale_Phrase,21,5,27.73,5.55,0,,Zero-Reg KW
amazon business discount,"""amazon prime business""",Phrase match (close variant),AU_Brand_Phrase,Prime_Phrase,6,2,27.5,13.75,4,207.26,Converting KW
empty candle jars wholesale australia,"""jars bulk""",Phrase match (close variant),AU_Generic_P-V_Food,Plates_Bulk_Phrase,28,6,27.27,4.55,8,131.38,Converting KW
alibaba wholesale,"""bulk distributor""",Phrase match (close variant),AU_Generic,Bulk_Distributors_Phrase,25,2,27.15,13.58,0,,Zero-Reg KW
amazon business offer,[amazon business benefits],Exact match (close variant),AU_Brand_Exact,Account_Exact,4,2,27.13,13.57,2,127.35,Converting KW
sme phone packages,"""cell phone for business""",Phrase match (close variant),AU_Generic_P-V_Electronics,Cell-Phones_Phrase,34,5,27.12,5.42,1,142.15,Converting KW
cafe crockery wholesale,"""wholesale dinnerware sets""",Phrase match (close variant),AU_Generic_P-V_Food,Cultlery_Wholesale_Phrase,1,2,27.12,13.56,0,,Zero-Reg KW
wholesale takeaway containers,[wholesale take out containers],Exact match (close variant),AU_Generic_P-V_Food,Kitchen Tools_Wholesale_Exact,7,2,26.97,13.49,0,,Zero-Reg KW
bulk nappies,"""bulk baby accessories""",Phrase match (close variant),AU_Generic_P-V_Apparel,Accessories Baby_Bulk_Phrase,31,7,26.89,3.84,0,,Zero-Reg KW
liquidation wholesalers,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,2,2,26.89,13.45,0,,Zero-Reg KW
amazon business vs prime,"""amazon business prime""",Phrase match,AU_Brand_Phrase,Prime_Phrase,8,2,26.85,13.43,2,280.67,Converting KW
amazon spn partner list,"""amazon business information""",Phrase match (close variant),AU_Brand_Phrase,Navigation_Phrase,2,2,26.84,13.42,3,224.6,Converting KW
bulk easter eggs,"""bulk buy easter eggs""",Exact match (close variant),AU_Generic_P-V_Food,Sweets_Bulk_Phrase,68,5,26.84,5.37,4,123.65,Converting KW
benefit of amazon business account,[amazon business account benefits],Exact match (close variant),AU_Brand_Exact,Account_Exact,6,3,26.79,8.93,1,162.5,Converting KW
cheap bulk food online,"""bulk goods""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,11,4,26.63,6.66,0,,Zero-Reg KW
commercial cleaning products,[commercial cleaning supply],Exact match (close variant),AU_Generic_P-V_Shops,Catalog_Exact,20,3,26.61,8.87,0,,Zero-Reg KW
bulk pantry items,"""products in large quantities""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,11,4,26.51,6.63,0,,Zero-Reg KW
agar cleaning products,"""cleaning products""",Phrase match,AU_Generic_P-V_Janitorial,Products_Phrase,57,5,26.43,5.29,0,,Zero-Reg KW
amazon business requirements,[how to get amazon business account],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,9,2,26.21,13.11,2,78.63,Converting KW
desk organisers,"""desk equipment""",Phrase match (close variant),AU_Generic_P-V_Office,Products_Phrase,56,5,26.12,5.22,0,,Zero-Reg KW
bulk hand soap,"""bulk hand soaps""",Exact match (close variant),AU_Generic_P-V_Janitorial,Soap_Bulk_Phrase,28,4,26.08,6.52,0,,Zero-Reg KW
business prime account,"""amazon prime business""",Exact match (close variant),AU_Brand_Phrase,Prime_Phrase,4,2,25.96,12.98,4,207.26,Converting KW
wholesale drinks suppliers,[drinks wholesale market],Exact match (close variant),AU_Generic_P-V_Food,Wholesales_Food_Exact,11,5,25.91,5.18,0,,Zero-Reg KW
drop shipping suppliers australia,"""suppliers companies""",Phrase match (close variant),AU_Generic,Suppliers_Enterprises_Phrase,27,4,25.9,6.48,0,,Zero-Reg KW
cheap glass jars wholesale australia,"""jars bulk""",Phrase match (close variant),AU_Generic_P-V_Food,Plates_Bulk_Phrase,25,5,25.63,5.13,8,131.38,Converting KW
small business,"""companies business""",Phrase match (close variant),AU_Generic,Enterprises_Shop_Phrase,28,3,25.58,8.53,0,,Zero-Reg KW
bulk buying,[bulk suppliers],Exact match (close variant),AU_Generic,Bulk_Suppliers_Exact,23,3,25.52,8.51,0,,Zero-Reg KW
bulk mason jars,"""jars bulk""",Phrase match,AU_Generic_P-V_Food,Plates_Bulk_Phrase,35,6,25.49,4.25,8,131.38,Converting KW
amazon prime for business,[amazon prime business],Exact match (close variant),AU_Brand_Exact,Prime_Exact,10,6,25.44,4.24,4,26.07,Converting KW
wholesale food suppliers to the public,[foods wholesalers],Exact match (close variant),AU_Generic_P-V_Food,Food_Wholesalers_Exact,17,4,25.34,6.34,0,,Zero-Reg KW
bulk chewing gum,"""bulk products""",Phrase match (close variant),AU_Generic,Bulk_Products_Phrase,6,2,25.28,12.64,0,,Zero-Reg KW
hair salon equipment,"""professional salon products distributors""",Phrase match (close variant),AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,13,4,25.26,6.32,7,140.77,Converting KW
amazon business aus,[amazon business au],Exact match (close variant),AU_Brand_Exact,Pure_Exact,41,5,25.22,5.04,2,238.02,Converting KW
bulk bottle openers,[bulk bottle openers],Exact match,AU_Generic_P-V_Food,Barware_Bulk_Exact,3,2,25.03,12.52,0,,Zero-Reg KW
amazon business app,"""amazon business account""",Phrase match (close variant),AU_Brand_Phrase,Account_ Phrase,20,6,24.9,4.15,8,275.85,Converting KW
